,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_OREB%,OPP,Home/Away,REST,OPP_REST,W/L
50,ATL,2/4/17,48,0.59,0.34600000000000003,0.175,0.278,0.391,0.359,0.14400000000000002,0.156,ORL,1,2,1,1
51,ATL,2/6/17,48,0.486,0.4320000000000001,0.129,0.16699999999999998,0.675,0.225,0.132,0.281,UTA,1,2,2,0
52,ATL,2/8/17,48,0.5479999999999999,0.194,0.11,0.3,0.465,0.21,0.102,0.368,DEN,1,2,2,1
53,ATL,2/10/17,48,0.585,0.4370000000000001,0.172,0.08800000000000001,0.588,0.263,0.181,0.19,SAC,0,2,2,0
54,ATL,2/13/17,48,0.434,0.578,0.085,0.13699999999999998,0.4370000000000001,0.243,0.156,0.328,POR,0,3,4,1
55,ATL,2/15/17,48,0.449,0.241,0.229,0.222,0.557,0.152,0.168,0.125,LAC,0,2,2,0
56,ATL,2/24/17,48,0.418,0.456,0.103,0.17,0.49,0.131,0.127,0.28800000000000003,MIA,1,9,9,0
57,ATL,2/25/17,48,0.424,0.306,0.17600000000000002,0.231,0.506,0.29600000000000004,0.142,0.163,ORL,0,1,2,0
58,ATL,2/27/17,48,0.516,0.211,0.134,0.295,0.448,0.287,0.168,0.17600000000000002,BOS,0,2,1,1
59,ATL,3/1/17,48,0.6409999999999999,0.375,0.246,0.14800000000000002,0.545,0.16899999999999998,0.232,0.25,DAL,1,2,2,1
60,ATL,3/3/17,48,0.593,0.33,0.114,0.282,0.6920000000000001,0.233,0.135,0.135,CLE,1,2,2,0
61,ATL,3/5/17,48,0.5,0.403,0.158,0.239,0.545,0.269,0.161,0.214,IND,1,2,4,0
62,ATL,3/6/17,48,0.5429999999999999,0.378,0.189,0.318,0.586,0.253,0.161,0.28300000000000003,GSW,1,1,1,0
63,ATL,3/8/17,48,0.453,0.337,0.14,0.239,0.531,0.313,0.211,0.122,BKN,1,2,2,1
64,ATL,3/10/17,48,0.573,0.387,0.208,0.211,0.424,0.293,0.12,0.302,TOR,1,2,2,1
65,ATL,3/11/17,48,0.604,0.361,0.189,0.17600000000000002,0.406,0.256,0.13,0.245,MEM,0,1,2,1
66,ATL,3/13/17,48,0.494,0.37,0.154,0.14,0.58,0.21,0.22,0.189,SAS,0,2,2,0
67,ATL,3/16/17,48,0.465,0.479,0.188,0.2,0.478,0.196,0.125,0.348,MEM,1,3,1,0
68,ATL,3/18/17,48,0.403,0.364,0.126,0.226,0.552,0.218,0.211,0.361,POR,1,2,3,0
69,ATL,3/20/17,48,0.512,0.119,0.191,0.3,0.575,0.25,0.087,0.132,CHA,0,2,2,0
70,ATL,3/22/17,48,0.442,0.337,0.154,0.229,0.458,0.242,0.177,0.34,WAS,0,2,2,0
71,ATL,3/24/17,48,0.458,0.289,0.174,0.333,0.489,0.182,0.095,0.2,MIL,0,2,2,0
72,ATL,3/26/17,48,0.3720000000000001,0.327,0.196,0.406,0.477,0.349,0.171,0.273,BKN,1,2,2,0
73,ATL,3/28/17,48,0.435,0.341,0.17600000000000002,0.209,0.401,0.25,0.139,0.25,PHX,1,2,2,1
74,ATL,3/29/17,48,0.481,0.325,0.182,0.35700000000000004,0.477,0.126,0.16,0.289,PHI,0,1,1,1
75,ATL,4/1/17,48,0.506,0.189,0.131,0.244,0.541,0.165,0.124,0.15,CHI,0,3,2,0
76,ATL,4/2/17,48,0.419,0.28800000000000003,0.196,0.157,0.451,0.244,0.202,0.182,BKN,0,1,1,0
77,ATL,4/6/17,48,0.556,0.382,0.157,0.317,0.494,0.378,0.112,0.204,BOS,1,4,1,1
78,ATL,4/7/17,48,0.596,0.09,0.113,0.146,0.537,0.21,0.141,0.077,CLE,0,1,2,1
79,ATL,4/9/17,48,0.516,0.394,0.107,0.2,0.556,0.204,0.153,0.271,CLE,1,2,2,1
80,ATL,4/11/17,48,0.563,0.228,0.183,0.306,0.34700000000000003,0.21600000000000005,0.156,0.278,CHA,1,2,1,1
81,ATL,4/12/17,48,0.493,0.264,0.217,0.195,0.537,0.232,0.108,0.21600000000000005,IND,0,1,2,0
82,BKN,10/26/16,48,0.521,0.206,0.15,0.3,0.601,0.202,0.183,0.293,BOS,0,0,0,0
83,BKN,10/28/16,48,0.494,0.23,0.16,0.255,0.413,0.204,0.123,0.259,IND,1,2,2,1
84,BKN,10/29/16,48,0.506,0.333,0.174,0.234,0.511,0.273,0.134,0.19,MIL,0,1,3,0
85,BKN,10/31/16,48,0.37,0.219,0.14400000000000002,0.262,0.5670000000000001,0.202,0.192,0.31,CHI,1,2,2,0
