,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_OREB%,OPP,Home/Away,REST,OPP_REST,W/L,+/-
51,NOP,10/29/16,48,0.395,0.174,0.105,0.137,0.482,0.277,0.103,0.136,SAS,0,1,2,0,-19
52,BOS,10/29/16,48,0.574,0.21,0.133,0.111,0.462,0.418,0.093,0.136,CHA,0,2,1,1,6
53,IND,10/29/16,48,0.528,0.102,0.134,0.19,0.576,0.244,0.127,0.342,CHI,0,1,2,0,-17
54,MIL,10/29/16,48,0.511,0.273,0.134,0.19,0.506,0.333,0.174,0.234,BKN,1,3,1,1,2
55,SAS,10/29/16,48,0.482,0.277,0.103,0.136,0.395,0.174,0.105,0.137,NOP,1,2,1,1,19
56,DEN,10/29/16,48,0.41,0.39,0.144,0.286,0.51,0.214,0.135,0.1,POR,1,3,2,0,-2
57,MIN,10/29/16,48,0.579,0.443,0.154,0.259,0.512,0.294,0.133,0.275,SAC,0,3,2,0,-3
58,CLE,10/29/16,48,0.472,0.341,0.093,0.26,0.5,0.31,0.203,0.325,ORL,1,1,1,1,6
59,MEM,10/29/16,48,0.483,0.302,0.122,0.239,0.566,0.513,0.13,0.171,NYK,0,3,4,0,-7
60,PHI,10/29/16,48,0.381,0.188,0.195,0.089,0.524,0.271,0.119,0.146,ATL,1,3,2,0,-32
61,CHI,10/29/16,48,0.576,0.244,0.127,0.342,0.528,0.102,0.134,0.19,IND,1,2,1,1,17
62,NYK,10/29/16,48,0.566,0.513,0.13,0.171,0.483,0.302,0.122,0.239,MEM,1,4,3,1,7
63,POR,10/29/16,48,0.51,0.214,0.135,0.1,0.41,0.39,0.144,0.286,DEN,0,2,3,1,2
64,ORL,10/29/16,48,0.5,0.31,0.203,0.325,0.472,0.341,0.093,0.26,CLE,0,1,1,0,-6
65,CHA,10/29/16,48,0.462,0.418,0.093,0.136,0.574,0.21,0.133,0.111,BOS,1,1,2,0,-6
66,ATL,10/29/16,48,0.524,0.271,0.119,0.146,0.381,0.188,0.195,0.089,PHI,0,2,3,1,32
67,SAC,10/29/16,48,0.512,0.294,0.133,0.275,0.579,0.443,0.154,0.259,MIN,1,2,3,1,3
68,MIL,10/30/16,48,0.414,0.161,0.126,0.192,0.472,0.227,0.165,0.348,DET,0,1,2,0,-15
69,DET,10/30/16,48,0.472,0.227,0.165,0.348,0.414,0.161,0.126,0.192,MIL,1,2,1,1,15
70,LAC,10/30/16,48,0.446,0.241,0.143,0.28,0.445,0.178,0.201,0.167,UTA,1,3,2,1,13
71,OKC,10/30/16,48,0.521,0.179,0.178,0.25,0.443,0.276,0.203,0.239,LAL,1,2,2,1,17
72,GSW,10/30/16,48,0.47,0.398,0.15,0.152,0.456,0.278,0.118,0.234,PHX,0,2,2,1,6
73,SAS,10/30/16,48,0.512,0.317,0.159,0.318,0.506,0.325,0.123,0.167,MIA,0,1,2,1,7
74,UTA,10/30/16,48,0.445,0.178,0.201,0.167,0.446,0.241,0.143,0.28,LAC,0,2,3,0,-13
75,MIA,10/30/16,48,0.506,0.325,0.123,0.167,0.512,0.317,0.159,0.318,SAS,1,2,1,0,-7
76,LAL,10/30/16,48,0.443,0.276,0.203,0.239,0.521,0.179,0.178,0.25,OKC,0,2,2,0,-17
77,PHX,10/30/16,48,0.456,0.278,0.118,0.234,0.47,0.398,0.15,0.152,GSW,1,2,2,0,-6
78,HOU,10/30/16,48,0.488,0.259,0.173,0.231,0.436,0.233,0.137,0.255,DAL,1,2,2,1,1
79,DAL,10/30/16,48,0.436,0.233,0.137,0.255,0.488,0.259,0.173,0.231,HOU,0,2,2,0,-1
80,WAS,10/30/16,48,0.471,0.291,0.136,0.182,0.528,0.295,0.137,0.256,MEM,0,3,1,0,-9
81,MEM,10/30/16,48,0.528,0.295,0.137,0.256,0.471,0.291,0.136,0.182,WAS,1,1,3,1,9
82,ATL,10/31/16,48,0.487,0.595,0.136,0.347,0.547,0.253,0.197,0.188,SAC,1,2,2,1,11
83,BKN,10/31/16,48,0.37,0.219,0.144,0.262,0.567,0.202,0.192,0.31,CHI,1,2,2,0,-30
84,PHX,10/31/16,48,0.446,0.369,0.193,0.204,0.538,0.475,0.149,0.128,LAC,0,1,1,0,-18
85,SAC,10/31/16,48,0.547,0.253,0.197,0.188,0.487,0.595,0.136,0.347,ATL,0,2,2,0,-11
86,DEN,10/31/16,48,0.463,0.432,0.086,0.256,0.489,0.284,0.083,0.239,TOR,0,2,3,0,-3
87,CHI,10/31/16,48,0.567,0.202,0.192,0.31,0.37,0.219,0.144,0.262,BKN,0,2,2,1,30
88,LAC,10/31/16,48,0.538,0.475,0.149,0.128,0.446,0.369,0.193,0.204,PHX,1,1,1,1,18
89,TOR,10/31/16,48,0.489,0.284,0.083,0.239,0.463,0.432,0.086,0.256,DEN,1,3,2,1,3
90,MIN,11/1/16,48,0.628,0.295,0.212,0.294,0.387,0.387,0.208,0.167,MEM,1,3,2,1,36
91,UTA,11/1/16,48,0.599,0.237,0.118,0.063,0.474,0.276,0.11,0.098,SAS,0,2,2,1,15
92,CLE,11/1/16,48,0.614,0.373,0.115,0.364,0.572,0.278,0.072,0.244,HOU,1,3,2,1,8
93,NOP,11/1/16,48,0.494,0.5,0.125,0.191,0.538,0.231,0.152,0.25,MIL,1,3,2,0,-4
94,LAL,11/1/16,48,0.483,0.281,0.183,0.256,0.529,0.333,0.161,0.25,IND,0,2,3,0,-7
95,PHI,11/1/16,48,0.549,0.198,0.165,0.206,0.484,0.183,0.102,0.255,ORL,1,3,3,0,-2
96,IND,11/1/16,48,0.529,0.333,0.161,0.25,0.483,0.281,0.183,0.256,LAL,1,3,2,1,7
97,GSW,11/1/16,48,0.618,0.258,0.148,0.212,0.512,0.244,0.168,0.136,POR,0,2,3,1,23
98,MEM,11/1/16,48,0.387,0.387,0.208,0.167,0.628,0.295,0.212,0.294,MIN,0,2,3,0,-36
99,SAC,11/1/16,48,0.41,0.303,0.14,0.188,0.506,0.337,0.155,0.12,MIA,0,1,2,0,-12
100,HOU,11/1/16,48,0.572,0.278,0.072,0.244,0.614,0.373,0.115,0.364,CLE,0,2,3,0,-8
101,ORL,11/1/16,48,0.484,0.183,0.102,0.255,0.549,0.198,0.165,0.206,PHI,0,3,3,1,2
102,MIA,11/1/16,48,0.506,0.337,0.155,0.12,0.41,0.303,0.14,0.188,SAC,1,2,1,1,12
103,MIL,11/1/16,48,0.538,0.231,0.152,0.25,0.494,0.5,0.125,0.191,NOP,0,2,3,1,4
104,POR,11/1/16,48,0.512,0.244,0.168,0.136,0.618,0.258,0.148,0.212,GSW,1,3,2,0,-23
105,DET,11/1/16,48,0.506,0.236,0.111,0.222,0.448,0.174,0.124,0.174,NYK,1,2,3,1,13
106,SAS,11/1/16,48,0.474,0.276,0.11,0.098,0.599,0.237,0.118,0.063,UTA,1,2,2,0,-15
107,NYK,11/1/16,48,0.448,0.174,0.124,0.174,0.506,0.236,0.111,0.222,DET,0,3,2,0,-13
108,WAS,11/2/16,48,0.604,0.333,0.215,0.182,0.623,0.325,0.134,0.118,TOR,1,3,2,0,-10
109,ATL,11/2/16,48,0.547,0.341,0.17,0.244,0.583,0.222,0.146,0.289,LAL,1,2,1,0,-7
110,LAC,11/2/16,48,0.431,0.207,0.179,0.16,0.435,0.238,0.21,0.233,OKC,1,2,3,0,-2
111,NYK,11/2/16,48,0.482,0.294,0.152,0.167,0.556,0.303,0.196,0.413,HOU,1,1,1,0,-19
112,MEM,11/2/16,48,0.394,0.213,0.182,0.255,0.438,0.198,0.209,0.114,NOP,1,1,1,1,6
113,PHI,11/2/16,48,0.465,0.174,0.183,0.186,0.576,0.329,0.156,0.237,CHA,0,1,4,0,-16
114,CHA,11/2/16,48,0.576,0.329,0.156,0.237,0.465,0.174,0.183,0.186,PHI,1,4,1,1,16
115,BKN,11/2/16,48,0.625,0.224,0.195,0.152,0.472,0.239,0.13,0.2,DET,1,2,1,1,8
116,TOR,11/2/16,48,0.623,0.325,0.134,0.118,0.604,0.333,0.215,0.182,WAS,0,2,3,1,10
117,UTA,11/2/16,48,0.532,0.338,0.128,0.189,0.474,0.13,0.147,0.15,DAL,1,1,3,1,16
118,DET,11/2/16,48,0.472,0.239,0.13,0.2,0.625,0.224,0.195,0.152,BKN,0,1,2,0,-8
119,PHX,11/2/16,48,0.451,0.291,0.105,0.246,0.475,0.208,0.13,0.182,POR,1,2,1,1,3
120,NOP,11/2/16,48,0.438,0.198,0.209,0.114,0.394,0.213,0.182,0.255,MEM,0,1,1,0,-6
121,OKC,11/2/16,48,0.435,0.238,0.21,0.233,0.431,0.207,0.179,0.16,LAC,0,3,2,1,2
122,BOS,11/2/16,48,0.552,0.195,0.124,0.227,0.475,0.383,0.193,0.341,CHI,1,4,2,1,7
123,POR,11/2/16,48,0.475,0.208,0.13,0.182,0.451,0.291,0.105,0.246,PHX,0,1,2,0,-3
124,LAL,11/2/16,48,0.583,0.222,0.146,0.289,0.547,0.341,0.17,0.244,ATL,0,1,2,1,7
125,CHI,11/2/16,48,0.475,0.383,0.193,0.341,0.552,0.195,0.124,0.227,BOS,0,2,4,0,-7
126,HOU,11/2/16,48,0.556,0.303,0.196,0.413,0.482,0.294,0.152,0.167,NYK,0,1,1,1,19
127,DAL,11/2/16,48,0.474,0.13,0.147,0.15,0.532,0.338,0.128,0.189,UTA,0,3,1,0,-16
128,SAC,11/3/16,48,0.519,0.213,0.155,0.262,0.512,0.274,0.147,0.317,ORL,0,2,2,0,-8
129,MIN,11/3/16,48,0.449,0.284,0.158,0.275,0.519,0.309,0.206,0.194,DEN,1,2,3,0,-3
130,ORL,11/3/16,48,0.512,0.274,0.147,0.317,0.519,0.213,0.155,0.262,SAC,1,2,2,1,8
131,IND,11/3/16,48,0.531,0.333,0.202,0.256,0.646,0.293,0.207,0.353,MIL,0,2,2,0,-18
132,BOS,11/3/16,48,0.536,0.229,0.077,0.222,0.571,0.44,0.079,0.194,CLE,0,1,2,0,-6
133,CLE,11/3/16,48,0.571,0.44,0.079,0.194,0.536,0.229,0.077,0.222,BOS,1,2,1,1,6
134,MIL,11/3/16,48,0.646,0.293,0.207,0.353,0.531,0.333,0.202,0.256,IND,1,2,2,1,18
135,GSW,11/3/16,48,0.596,0.225,0.162,0.349,0.46,0.322,0.156,0.295,OKC,1,2,1,1,26
136,OKC,11/3/16,48,0.46,0.322,0.156,0.295,0.596,0.225,0.162,0.349,GSW,0,1,2,0,-26
137,DEN,11/3/16,48,0.519,0.309,0.206,0.194,0.449,0.284,0.158,0.275,MIN,0,3,2,1,3
138,PHX,11/4/16,48,0.473,0.301,0.146,0.245,0.511,0.298,0.082,0.113,NOP,0,2,2,1,1
139,BKN,11/4/16,48,0.454,0.241,0.152,0.143,0.477,0.279,0.152,0.152,CHA,1,2,2,0,-4
140,POR,11/4/16,48,0.525,0.325,0.142,0.159,0.47,0.241,0.133,0.167,DAL,0,2,2,1,10
141,LAL,11/4/16,48,0.516,0.221,0.153,0.34,0.483,0.233,0.189,0.205,GSW,1,2,1,1,20
142,LAC,11/4/16,48,0.424,0.388,0.119,0.239,0.423,0.262,0.191,0.265,MEM,0,2,2,1,11
143,NYK,11/4/16,48,0.567,0.236,0.054,0.289,0.488,0.321,0.138,0.341,CHI,0,2,2,1,13
144,CHA,11/4/16,48,0.477,0.279,0.152,0.152,0.454,0.241,0.152,0.143,BKN,0,2,2,1,4
