ID,Year,Player,Pos,Age,Tm,G,TS%,FTr,OWS,DWS,WS,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,AST,PF,PTS
24552,2017,Willie Reed,C,26,MIA,71,0.578,0.309,2.1,1.5,3.6,162,285,0.568,161,281,0.573,0.57,49,88,0.557,26,137,374
24553,2017,Josh Richardson,SG,23,MIA,53,0.493,0.15,0.3,1.9,2.2,202,513,0.394,127,286,0.444,0.467,60,77,0.779,140,132,539
24554,2017,Malachi Richardson,SG,21,SAC,22,0.517,0.279,0,0.1,0.1,28,68,0.412,20,40,0.5,0.471,15,19,0.789,11,23,79
24555,2017,Austin Rivers,SG,24,LAC,74,0.545,0.261,1.2,1.3,2.5,323,731,0.442,212,432,0.491,0.518,132,191,0.691,204,187,889
24556,2017,Andre Roberson,SF,25,OKC,79,0.51,0.24,1.1,3.1,4.2,215,463,0.464,170,279,0.609,0.513,47,111,0.423,79,204,522
24557,2017,Brian Roberts,PG,31,CHO,41,0.51,0.32,0,0.3,0.2,46,122,0.377,29,78,0.372,0.447,33,39,0.846,52,18,142
24558,2017,Glenn Robinson,SF,23,IND,69,0.564,0.225,1.3,1.2,2.5,158,338,0.467,109,213,0.512,0.54,54,76,0.711,47,63,419
24559,2017,Thomas Robinson,PF,25,LAL,48,0.535,0.337,0.3,0.6,0.9,105,196,0.536,105,195,0.538,0.536,31,66,0.47,31,76,241
24560,2017,Sergio Rodriguez,PG,30,PHI,68,0.484,0.05,-0.3,1,0.7,210,536,0.392,118,284,0.415,0.478,18,27,0.667,344,95,530
24561,2017,Rajon Rondo,PG,30,CHI,69,0.461,0.089,-0.3,2.7,2.3,229,561,0.408,179,428,0.418,0.453,30,50,0.6,461,144,538
24562,2017,Derrick Rose,PG,28,NYK,64,0.53,0.259,2.4,0.6,3,460,977,0.471,447,917,0.487,0.477,221,253,0.874,283,84,1154
24563,2017,Terrence Ross,SF,25,TOT,78,0.55,0.103,1.5,2,3.5,326,746,0.437,184,355,0.518,0.532,64,77,0.831,88,143,858
24564,2017,Terrence Ross,SF,25,TOR,54,0.558,0.104,1.6,1.4,2.9,211,479,0.441,115,223,0.516,0.541,41,50,0.82,45,82,559
24565,2017,Terrence Ross,SF,25,ORL,24,0.536,0.101,0,0.6,0.6,115,267,0.431,69,132,0.523,0.517,23,27,0.852,43,61,299
24566,2017,Terry Rozier,PG,22,BOS,74,0.466,0.161,0,1.4,1.4,151,411,0.367,94,232,0.405,0.437,51,66,0.773,131,69,410
24567,2017,Ricky Rubio,PG,26,MIN,75,0.539,0.438,4.5,1.7,6.1,261,650,0.402,201,454,0.443,0.448,254,285,0.891,682,202,836
24568,2017,Damjan Rudez,SF,30,ORL,45,0.466,0,-0.1,0.2,0.1,31,88,0.352,11,24,0.458,0.466,0,0,,20,31,82
24569,2017,Brandon Rush,SG,31,MIN,47,0.505,0.096,0.1,0.3,0.4,70,187,0.374,26,73,0.356,0.492,13,18,0.722,45,42,197
24570,2017,D'Angelo Russell,PG,20,LAL,63,0.518,0.217,0.3,1,1.3,351,867,0.405,216,483,0.447,0.483,147,188,0.782,303,130,984
24571,2017,Domantas Sabonis,PF,20,OKC,81,0.469,0.139,-1,1.8,0.7,192,481,0.399,141,322,0.438,0.452,44,67,0.657,82,200,479
24572,2017,Larry Sanders,C,28,CLE,5,0.41,0.5,0,0,0,1,4,0.25,1,4,0.25,0.25,2,2,1,0,5,4
24573,2017,Dario Saric,PF,22,PHI,81,0.508,0.237,-1.2,2.2,1,381,927,0.411,275,586,0.469,0.468,172,220,0.782,182,162,1040
24574,2017,Tomas Satoransky,SG,25,WAS,57,0.48,0.226,0.1,0.5,0.6,61,146,0.418,52,109,0.477,0.449,23,33,0.697,92,60,154
24575,2017,Dennis Schroder,PG,23,ATL,79,0.533,0.21,1.2,2.5,3.7,548,1215,0.451,448,921,0.486,0.492,218,255,0.855,499,149,1414
24576,2017,Luis Scola,PF,36,BRK,36,0.55,0.245,0.4,0.4,0.8,71,151,0.47,54,101,0.535,0.526,25,37,0.676,37,63,184
24577,2017,Mike Scott,PF,28,ATL,18,0.36,0.136,-0.3,0.2,-0.1,17,59,0.288,13,32,0.406,0.322,7,8,0.875,17,12,45
24578,2017,Thabo Sefolosha,SF,32,ATL,62,0.519,0.19,0.6,2.7,3.3,174,395,0.441,133,275,0.484,0.492,55,75,0.733,107,97,444
24579,2017,Wayne Selden,SG,22,TOT,14,0.525,0.379,-0.1,0.2,0.1,25,58,0.431,18,30,0.6,0.491,14,22,0.636,13,18,71
24580,2017,Wayne Selden,SG,22,NOP,3,0.82,0.5,0,0,0.1,5,8,0.625,1,1,1,0.875,2,4,0.5,1,6,16
24581,2017,Wayne Selden,SG,22,MEM,11,0.475,0.36,-0.1,0.1,0,20,50,0.4,17,29,0.586,0.43,12,18,0.667,12,12,55
24582,2017,Kevin Seraphin,PF,27,IND,49,0.559,0.111,0.4,0.6,1,109,198,0.551,109,196,0.556,0.551,14,22,0.636,23,66,232
24583,2017,Ramon Sessions,PG,30,CHO,50,0.495,0.449,0.3,0.6,0.9,100,263,0.38,79,201,0.393,0.42,91,118,0.771,129,43,312
24584,2017,Iman Shumpert,SG,26,CLE,76,0.536,0.184,0.7,1.4,2,201,489,0.411,107,228,0.469,0.507,71,90,0.789,109,150,567
24585,2017,Pascal Siakam,PF,22,TOR,55,0.523,0.156,0.4,1.2,1.6,103,205,0.502,102,198,0.515,0.505,22,32,0.688,17,109,229
24586,2017,Jonathon Simmons,SG,27,SAS,78,0.504,0.314,-0.1,2.1,2,177,421,0.42,147,319,0.461,0.456,99,132,0.75,126,146,483
24587,2017,Kyle Singler,SF,28,OKC,32,0.486,0.205,0,0.3,0.3,34,83,0.41,27,46,0.587,0.452,13,17,0.765,9,29,88
24588,2017,Marcus Smart,SG,22,BOS,79,0.486,0.334,0.5,2.7,3.2,269,749,0.359,175,417,0.42,0.422,203,250,0.812,364,192,835
24589,2017,Ish Smith,PG,28,DET,81,0.477,0.136,0.9,2.2,3.1,329,749,0.439,301,644,0.467,0.458,72,102,0.706,418,127,758
