DEN	DEN vs. NOP	11/17/2017		W	48	146	56	89	62.9	18	35	51.4	16	21	76.2	13	35	48	37	15	5	4	15	32	
SAC	SAC vs. POR	11/17/2017		W	48	86	36	85	42.4	4	14	28.6	10	15	66.7	12	31	43	20	13	11	5	22	4	
CLE	CLE vs. LAC	11/17/2017		W	53	118	42	90	46.7	11	33	33.3	23	29	79.3	8	43	51	24	15	9	4	20	5	
HOU	HOU @ PHX	11/16/2017		W	48	142	43	90	47.8	21	44	47.7	35	38	92.1	12	39	51	27	14	9	9	20	26	
BOS	BOS vs. GSW	11/16/2017		W	48	92	26	79	32.9	7	32	21.9	33	38	86.8	7	45	52	15	15	8	5	15	4	
PHX	PHX vs. HOU	11/16/2017		L	48	116	47	104	45.2	10	30	33.3	12	21	57.1	16	31	47	28	15	9	5	22	-26	
GSW	GSW @ BOS	11/16/2017		L	48	88	33	82	40.2	10	32	31.3	12	19	63.2	7	40	47	22	15	9	10	24	-4	
CHI	CHI @ OKC	11/15/2017		L	48	79	26	75	34.7	11	29	37.9	16	20	80.0	6	32	38	16	17	7	2	27	-13	
CHA	CHA vs. CLE	11/15/2017		L	48	107	41	86	47.7	6	26	23.1	19	28	67.9	8	33	41	21	13	7	5	19	-8	
MEM	MEM vs. IND	11/15/2017		L	48	113	44	86	51.2	8	32	25.0	17	22	77.3	11	32	43	29	14	5	10	19	-3	
MIN	MIN vs. SAS	11/15/2017		W	48	98	39	87	44.8	9	18	50.0	11	16	68.8	11	30	41	27	7	9	4	16	12	
LAL	LAL vs. PHI	11/15/2017		L	48	109	42	109	38.5	3	27	11.1	22	27	81.5	22	35	57	18	9	7	6	23	-6	
SAS	SAS @ MIN	11/15/2017		L	48	86	33	79	41.8	7	24	29.2	13	15	86.7	13	32	45	20	16	4	4	18	-12	
ORL	ORL @ POR	11/15/2017		L	48	94	37	79	46.8	11	29	37.9	9	9	100	7	34	41	19	15	6	4	16	-5	
UTA	UTA @ NYK	11/15/2017		L	48	101	34	79	43.0	17	35	48.6	16	17	94.1	9	28	37	19	14	5	10	23	-5	
MIA	MIA vs. WAS	11/15/2017		L	48	93	32	78	41.0	13	30	43.3	16	19	84.2	12	30	42	15	17	3	3	20	-9	
TOR	TOR @ NOP	11/15/2017		W	48	125	45	76	59.2	16	34	47.1	19	20	95.0	6	31	37	27	21	8	6	20	9	
NOP	NOP vs. TOR	11/15/2017		L	48	116	46	91	50.5	10	27	37.0	14	14	100	10	22	32	31	14	13	3	21	-9	
DET	DET @ MIL	11/15/2017		L	48	95	30	85	35.3	15	37	40.5	20	23	87.0	17	28	45	23	18	7	3	20	-4	
OKC	OKC vs. CHI	11/15/2017		W	48	92	26	72	36.1	8	30	26.7	32	37	86.5	11	37	48	15	14	7	2	19	13	
IND	IND @ MEM	11/15/2017		W	48	116	43	85	50.6	12	24	50.0	18	20	90.0	5	31	36	29	12	6	6	17	3	
ATL	ATL vs. SAC	11/15/2017		W	48	126	50	79	63.3	16	32	50.0	10	16	62.5	9	44	53	40	20	9	6	23	46	
WAS	WAS @ MIA	11/15/2017		W	48	102	32	78	41.0	9	19	47.4	29	31	93.5	11	29	40	9	12	8	2	19	9	
CLE	CLE @ CHA	11/15/2017		W	48	115	42	95	44.2	13	38	34.2	18	20	90.0	16	35	51	25	14	9	4	24	8	
PHI	PHI @ LAL	11/15/2017		W	48	115	42	86	48.8	7	32	21.9	24	30	80.0	8	44	52	27	16	7	15	19	6	
MIL	MIL vs. DET	11/15/2017		W	48	99	38	78	48.7	8	22	36.4	15	21	71.4	11	32	43	24	15	10	16	19	4	
NYK	NYK vs. UTA	11/15/2017		W	48	106	38	81	46.9	9	21	42.9	21	25	84.0	12	33	45	18	11	4	5	19	5	
POR	POR vs. ORL	11/15/2017		W	48	99	38	87	43.7	14	27	51.9	9	13	69.2	10	31	41	21	13	7	2	10	5	
SAC	SAC @ ATL	11/15/2017		L	48	80	31	88	35.2	6	28	21.4	12	20	60.0	11	18	29	18	12	12	2	19	-46	
TOR	TOR @ HOU	11/14/2017		W	48	129	41	78	52.6	14	30	46.7	33	42	78.6	5	31	36	28	14	11	4	30	16	
BKN	BKN vs. BOS	11/14/2017		L	48	102	39	88	44.3	14	35	40.0	10	16	62.5	9	34	43	26	15	4	3	24	-7	
DAL	DAL vs. SAS	11/14/2017		L	48	91	33	81	40.7	10	34	29.4	15	18	83.3	5	35	40	18	15	7	4	23	-6	
SAS	SAS @ DAL	11/14/2017		W	48	97	35	79	44.3	6	26	23.1	21	27	77.8	8	39	47	18	12	9	7	16	6	
HOU	HOU vs. TOR	11/14/2017		L	48	113	33	79	41.8	12	39	30.8	35	41	85.4	14	34	48	21	19	4	4	27	-16	
BOS	BOS @ BKN	11/14/2017		W	48	109	39	86	45.3	9	27	33.3	22	27	81.5	9	40	49	15	14	8	3	14	7	
DEN	DEN @ POR	11/13/2017		L	48	82	30	84	35.7	9	32	28.1	13	15	86.7	12	23	35	13	20	9	2	16	-17	
GSW	GSW vs. ORL	11/13/2017		W	48	110	44	88	50.0	8	23	34.8	14	16	87.5	12	38	50	35	16	4	5	21	10	
POR	POR vs. DEN	11/13/2017		W	48	99	38	73	52.1	7	21	33.3	16	18	88.9	8	35	43	22	22	12	5	18	17	
NYK	NYK vs. CLE	11/13/2017		L	48	101	38	88	43.2	8	25	32.0	17	22	77.3	13	36	49	19	17	13	3	21	-3	
MIL	MIL vs. MEM	11/13/2017		W	48	110	40	82	48.8	12	22	54.5	18	25	72.0	10	26	36	23	11	6	5	19	7	
CLE	CLE @ NYK	11/13/2017		W	48	104	35	88	39.8	16	45	35.6	18	22	81.8	14	34	48	21	21	7	7	21	3	
MIN	MIN @ UTA	11/13/2017		W	48	109	37	71	52.1	10	20	50.0	25	29	86.2	5	35	40	22	17	9	5	13	11	
LAC	LAC vs. PHI	11/13/2017		L	48	105	36	82	43.9	12	32	37.5	21	32	65.6	9	25	34	16	15	8	4	26	-4	
WAS	WAS vs. SAC	11/13/2017		W	48	110	44	86	51.2	11	34	32.4	11	12	91.7	10	40	50	30	11	7	1	21	18	
LAL	LAL @ PHX	11/13/2017		W	48	100	39	92	42.4	14	33	42.4	8	13	61.5	9	44	53	17	16	6	6	20	7	
PHI	PHI @ LAC	11/13/2017		W	48	109	38	77	49.4	7	32	21.9	26	35	74.3	10	41	51	27	20	9	2	26	4	
MEM	MEM @ MIL	11/13/2017		L	48	103	37	76	48.7	11	26	42.3	18	21	85.7	8	29	37	21	15	5	1	25	-7	
UTA	UTA vs. MIN	11/13/2017		L	48	98	37	84	44.0	14	40	35.0	10	11	90.9	8	23	31	23	15	8	4	23	-11	
PHX	PHX vs. LAL	11/13/2017		L	48	93	37	95	38.9	7	26	26.9	12	20	60.0	11	43	54	15	17	6	4	17	-7	
NOP	NOP vs. ATL	11/13/2017		W	48	106	41	75	54.7	13	33	39.4	11	17	64.7	7	31	38	31	19	10	5	13	1	
ORL	ORL @ GSW	11/13/2017		L	48	100	37	88	42.0	10	32	31.3	16	18	88.9	4	31	35	26	11	10	3	18	-10	
SAC	SAC @ WAS	11/13/2017		L	48	92	34	84	40.5	12	23	52.2	12	18	66.7	10	25	35	19	10	8	4	15	-18	
ATL	ATL @ NOP	11/13/2017		L	48	105	40	87	46.0	17	36	47.2	8	9	88.9	10	26	36	25	16	14	1	18	-1	
OKC	OKC vs. DAL	11/12/2017		W	48	112	36	72	50.0	15	32	46.9	25	33	75.8	3	34	37	21	17	10	4	23	13	
BOS	BOS vs. TOR	11/12/2017		W	48	95	35	87	40.2	10	26	38.5	15	19	78.9	15	31	46	24	15	9	2	18	1	
MIA	MIA @ DET	11/12/2017		L	48	103	39	90	43.3	13	37	35.1	12	16	75.0	7	32	39	25	9	8	5	22	-9	
HOU	HOU @ IND	11/12/2017		W	48	118	43	90	47.8	17	47	36.2	15	18	83.3	10	37	47	24	13	10	5	20	23	
DAL	DAL @ OKC	11/12/2017		L	48	99	37	87	42.5	11	37	29.7	14	18	77.8	11	30	41	18	20	9	4	20	-13	
DET	DET vs. MIA	11/12/2017		W	48	112	42	87	48.3	14	28	50.0	14	20	70.0	11	43	54	24	13	2	5	17	9	
TOR	TOR @ BOS	11/12/2017		L	48	94	32	69	46.4	10	24	41.7	20	23	87.0	6	30	36	18	17	8	8	20	-1	
IND	IND vs. HOU	11/12/2017		L	48	95	37	83	44.6	8	22	36.4	13	21	61.9	7	34	41	18	13	5	7	15	-23	
CHI	CHI @ SAS	11/11/2017		L	48	94	40	86	46.5	6	23	26.1	8	13	61.5	5	23	28	22	13	9	4	15	-39	
UTA	UTA vs. BKN	11/11/2017		W	48	114	41	85	48.2	11	29	37.9	21	25	84.0	12	32	44	19	16	12	3	29	8	
MEM	MEM @ HOU	11/11/2017		L	48	96	38	79	48.1	6	20	30.0	14	18	77.8	5	36	41	23	20	9	5	20	-15	
GSW	GSW vs. PHI	11/11/2017		W	48	135	48	82	58.5	14	27	51.9	25	26	96.2	4	35	39	31	23	15	11	23	21	
SAC	SAC @ NYK	11/11/2017		L	48	91	30	80	37.5	7	22	31.8	24	30	80.0	11	31	42	19	13	6	4	18	-27	
MIL	MIL vs. LAL	11/11/2017		W	48	98	35	85	41.2	6	23	26.1	22	26	84.6	9	33	42	16	16	11	4	27	8	
WAS	WAS vs. ATL	11/11/2017		W	48	113	42	78	53.8	7	24	29.2	22	28	78.6	11	31	42	22	23	14	10	22	19	
ORL	ORL @ DEN	11/11/2017		L	48	107	41	87	47.1	11	31	35.5	14	20	70.0	8	28	36	24	12	7	5	19	-18	
DAL	DAL vs. CLE	11/11/2017		L	48	104	39	92	42.4	10	34	29.4	16	21	76.2	9	33	42	21	11	7	3	26	-7	
NOP	NOP vs. LAC	11/11/2017		W	48	111	43	80	53.8	6	16	37.5	19	24	79.2	8	43	51	26	23	7	4	19	8	
CLE	CLE @ DAL	11/11/2017		W	48	111	35	81	43.2	12	31	38.7	29	35	82.9	10	43	53	18	17	8	3	18	7	
SAS	SAS vs. CHI	11/11/2017		W	48	133	51	85	60.0	18	27	66.7	13	16	81.3	8	36	44	33	14	5	6	16	39	
ATL	ATL @ WAS	11/11/2017		L	48	94	34	83	41.0	14	33	42.4	12	17	70.6	10	22	32	19	24	11	1	23	-19	
HOU	HOU vs. MEM	11/11/2017		W	48	111	37	83	44.6	16	45	35.6	21	28	75.0	11	35	46	18	16	14	4	19	15	
LAL	LAL @ MIL	11/11/2017		L	48	90	31	74	41.9	6	22	27.3	22	37	59.5	8	40	48	21	23	7	9	22	-8	
MIN	MIN @ PHX	11/11/2017		L	48	110	39	96	40.6	4	20	20.0	28	35	80.0	19	28	47	16	11	12	4	21	-8	
BKN	BKN @ UTA	11/11/2017		L	48	106	35	76	46.1	7	23	30.4	29	39	74.4	10	31	41	13	17	7	4	22	-8	
LAC	LAC @ NOP	11/11/2017		L	48	103	35	86	40.7	10	26	38.5	23	27	85.2	8	29	37	16	12	12	1	24	-8	
