,TEAM,MATCH UP,GAME DATE,MIN,EFG%,FTA RATE,TOV%,TOV,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_TOV,OPP_OREB%,OPP,Home/Away,REST,PTS,OPP_PTS,+/-,WIN,OPP_REST
37,UTA,UTA vs. LAL,10/28/16,48,0.453,0.533,0.15,15,0.289,0.435,0.25,0.171,17.1,0.244,LAL,1,3,96,89,7,1,2
38,CHA,CHA @ MIA,10/28/16,48,0.418,0.261,0.082,8.2,0.241,0.453,0.233,0.193,19.3,0.234,MIA,0,2,97,91,6,1,2
39,DET,DET vs. ORL,10/28/16,48,0.542,0.063,0.119,11.9,0.231,0.389,0.126,0.094,9.4,0.241,ORL,1,2,108,82,26,1,2
40,MIA,MIA vs. CHA,10/28/16,48,0.453,0.233,0.193,19.3,0.234,0.418,0.261,0.082,8.2,0.241,CHA,1,2,91,97,-6,0,2
41,GSW,GSW @ NOP,10/28/16,48,0.533,0.308,0.129,12.9,0.196,0.495,0.23,0.133,13.3,0.231,NOP,0,3,122,114,8,1,2
42,IND,IND @ BKN,10/28/16,48,0.413,0.204,0.123,12.3,0.259,0.494,0.23,0.16,16,0.255,BKN,0,2,94,103,-9,0,2
43,DAL,DAL vs. HOU,10/28/16,48,0.488,0.3,0.106,10.6,0.143,0.579,0.443,0.195,19.5,0.152,HOU,1,2,98,106,-8,0,2
44,BKN,BKN vs. IND,10/28/16,48,0.494,0.23,0.16,16,0.255,0.413,0.204,0.123,12.3,0.259,IND,1,2,103,94,9,1,2
45,LAL,LAL @ UTA,10/28/16,48,0.435,0.25,0.171,17.1,0.244,0.453,0.533,0.15,15,0.289,UTA,0,2,89,96,-7,0,3
46,OKC,OKC vs. PHX,10/28/16,53,0.443,0.396,0.182,18.2,0.275,0.473,0.34,0.129,12.9,0.14,PHX,1,2,113,110,3,1,2
47,NOP,NOP vs. GSW,10/28/16,48,0.495,0.23,0.133,13.3,0.231,0.533,0.308,0.129,12.9,0.196,GSW,1,2,114,122,-8,0,3
