,TEAM,MATCH UP,GAME DATE,MIN,EFG%,FTA RATE,TOV%,TOV,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_TOV,OPP_OREB%,OPP,Home/Away,REST,PTS,OPP_PTS,+/-,WIN,OPP_REST
448,BKN,BKN @ IND,11/25/16,48,0.525,0.291,0.2,20,0.191,0.615,0.184,0.15,15,0.237,IND,0,2,97,118,-21,0,2
449,LAC,LAC @ DET,11/25/16,48,0.527,0.356,0.151,15.1,0.154,0.572,0.078,0.106,10.6,0.25,DET,0,2,97,108,-11,0,2
450,POR,POR vs. NOP,11/25/16,48,0.53,0.17,0.103,10.3,0.273,0.559,0.382,0.139,13.9,0.048,NOP,1,2,119,104,15,1,2
451,CLE,CLE vs. DAL,11/25/16,48,0.624,0.282,0.139,13.9,0.243,0.451,0.132,0.141,14.1,0.224,DAL,1,2,128,90,38,1,2
452,ORL,ORL vs. WAS,11/25/16,48,0.481,0.25,0.203,20.3,0.318,0.489,0.114,0.123,12.3,0.167,WAS,1,2,91,94,-3,0,4
453,ATL,ATL @ UTA,11/25/16,48,0.361,0.145,0.145,14.5,0.115,0.5,0.225,0.169,16.9,0.209,UTA,0,2,68,95,-27,0,2
454,SAC,SAC vs. HOU,11/25/16,48,0.544,0.263,0.141,14.1,0.105,0.594,0.235,0.157,15.7,0.195,HOU,1,2,104,117,-13,0,2
455,CHA,CHA @ NYK,11/25/16,53,0.505,0.29,0.121,12.1,0.192,0.521,0.134,0.159,15.9,0.265,NYK,0,2,111,113,-2,0,3
456,BOS,BOS vs. SAS,11/25/16,48,0.527,0.099,0.103,10.3,0.2,0.537,0.309,0.177,17.7,0.317,SAS,1,2,103,109,-6,0,2
457,IND,IND vs. BKN,11/25/16,48,0.615,0.184,0.15,15,0.237,0.525,0.291,0.2,20,0.191,BKN,1,2,118,97,21,1,2
458,MIA,MIA @ MEM,11/25/16,48,0.459,0.212,0.098,9.8,0.222,0.378,0.28,0.191,19.1,0.32,MEM,0,2,90,81,9,1,2
459,MEM,MEM vs. MIA,11/25/16,48,0.378,0.28,0.191,19.1,0.32,0.459,0.212,0.098,9.8,0.222,MIA,1,2,81,90,-9,0,2
460,PHI,PHI vs. CHI,11/25/16,48,0.455,0.282,0.193,19.3,0.167,0.478,0.289,0.134,13.4,0.216,CHI,1,2,89,105,-16,0,3
461,GSW,GSW @ LAL,11/25/16,48,0.584,0.205,0.172,17.2,0.114,0.383,0.256,0.173,17.3,0.259,LAL,0,2,109,85,24,1,2
462,DET,DET vs. LAC,11/25/16,48,0.572,0.078,0.106,10.6,0.25,0.527,0.356,0.151,15.1,0.154,LAC,1,2,108,97,11,1,2
463,MIN,MIN @ PHX,11/25/16,48,0.441,0.294,0.167,16.7,0.234,0.443,0.266,0.254,25.4,0.3,PHX,0,2,98,85,13,1,2
464,PHX,PHX vs. MIN,11/25/16,48,0.443,0.266,0.254,25.4,0.3,0.441,0.294,0.167,16.7,0.234,MIN,1,2,85,98,-13,0,2
465,HOU,HOU @ SAC,11/25/16,48,0.594,0.235,0.157,15.7,0.195,0.544,0.263,0.141,14.1,0.105,SAC,0,2,117,104,13,1,2
466,SAS,SAS @ BOS,11/25/16,48,0.537,0.309,0.177,17.7,0.317,0.527,0.099,0.103,10.3,0.2,BOS,0,2,109,103,6,1,2
467,DEN,DEN vs. OKC,11/25/16,53,0.535,0.267,0.145,14.5,0.283,0.568,0.302,0.105,10.5,0.152,OKC,1,2,129,132,-3,0,2
468,NOP,NOP @ POR,11/25/16,48,0.559,0.382,0.139,13.9,0.048,0.53,0.17,0.103,10.3,0.273,POR,0,2,104,119,-15,0,2
469,MIL,MIL vs. TOR,11/25/16,48,0.582,0.152,0.125,12.5,0.206,0.549,0.232,0.112,11.2,0.262,TOR,1,4,99,105,-6,0,2
470,WAS,WAS @ ORL,11/25/16,48,0.489,0.114,0.123,12.3,0.167,0.481,0.25,0.203,20.3,0.318,ORL,0,4,94,91,3,1,2
471,OKC,OKC @ DEN,11/25/16,53,0.568,0.302,0.105,10.5,0.152,0.535,0.267,0.145,14.5,0.283,DEN,0,2,132,129,3,1,2
472,DAL,DAL @ CLE,11/25/16,48,0.451,0.132,0.141,14.1,0.224,0.624,0.282,0.139,13.9,0.243,CLE,0,2,90,128,-38,0,2
473,NYK,NYK vs. CHA,11/25/16,53,0.521,0.134,0.159,15.9,0.265,0.505,0.29,0.121,12.1,0.192,CHA,1,3,113,111,2,1,2
474,LAL,LAL vs. GSW,11/25/16,48,0.383,0.256,0.173,17.3,0.259,0.584,0.205,0.172,17.2,0.114,GSW,1,2,85,109,-24,0,2
475,TOR,TOR @ MIL,11/25/16,48,0.549,0.232,0.112,11.2,0.262,0.582,0.152,0.125,12.5,0.206,MIL,0,2,105,99,6,1,4
476,CHI,CHI @ PHI,11/25/16,48,0.478,0.289,0.134,13.4,0.216,0.455,0.282,0.193,19.3,0.167,PHI,0,3,105,89,16,1,2
477,UTA,UTA vs. ATL,11/25/16,48,0.5,0.225,0.169,16.9,0.209,0.361,0.145,0.145,14.5,0.115,ATL,1,2,95,68,27,1,2
478,MIA,MIA vs. MEM,11/26/16,48,0.562,0.296,0.107,10.7,0.2,0.568,0.452,0.066,6.6,0.061,MEM,1,1,107,110,-3,0,1
479,WAS,WAS vs. SAS,11/26/16,48,0.511,0.159,0.146,14.6,0.273,0.593,0.387,0.146,14.6,0.176,SAS,1,1,100,112,-12,0,1
480,NYK,NYK @ CHA,11/26/16,48,0.434,0.202,0.076,7.6,0.208,0.488,0.525,0.102,10.2,0.217,CHA,0,1,102,107,-5,0,1
481,GSW,GSW vs. MIN,11/26/16,48,0.623,0.21,0.191,19.1,0.333,0.517,0.135,0.14,14,0.195,MIN,1,1,115,102,13,1,1
482,CHA,CHA vs. NYK,11/26/16,48,0.488,0.525,0.102,10.2,0.217,0.434,0.202,0.076,7.6,0.208,NYK,1,1,107,102,5,1,1
483,OKC,OKC vs. DET,11/26/16,48,0.554,0.313,0.115,11.5,0.278,0.457,0.207,0.097,9.7,0.154,DET,1,1,106,88,18,1,1
484,SAS,SAS @ WAS,11/26/16,48,0.593,0.387,0.146,14.6,0.176,0.511,0.159,0.146,14.6,0.273,WAS,0,1,112,100,12,1,1
485,MIN,MIN @ GSW,11/26/16,48,0.517,0.135,0.14,14,0.195,0.623,0.21,0.191,19.1,0.333,GSW,0,1,102,115,-13,0,1
486,MEM,MEM @ MIA,11/26/16,48,0.568,0.452,0.066,6.6,0.061,0.562,0.296,0.107,10.7,0.2,MIA,0,1,110,107,3,1,1
487,DET,DET @ OKC,11/26/16,48,0.457,0.207,0.097,9.7,0.154,0.554,0.313,0.115,11.5,0.278,OKC,0,1,88,106,-18,0,1
488,CLE,CLE @ PHI,11/27/16,48,0.478,0.304,0.1,10,0.275,0.549,0.109,0.161,16.1,0.289,PHI,0,2,112,108,4,1,2
489,IND,IND vs. LAC,11/27/16,48,0.462,0.076,0.146,14.6,0.277,0.343,0.386,0.209,20.9,0.133,LAC,1,2,91,70,21,1,2
490,ATL,ATL @ LAL,11/27/16,48,0.511,0.114,0.123,12.3,0.156,0.484,0.211,0.092,9.2,0.326,LAL,0,2,94,109,-15,0,2
491,POR,POR vs. HOU,11/27/16,48,0.554,0.349,0.146,14.6,0.216,0.665,0.341,0.112,11.2,0.206,HOU,1,2,114,130,-16,0,2
492,PHI,PHI vs. CLE,11/27/16,48,0.549,0.109,0.161,16.1,0.289,0.478,0.304,0.1,10,0.275,CLE,1,2,108,112,-4,0,2
493,DAL,DAL vs. NOP,11/27/16,48,0.481,0.26,0.138,13.8,0.256,0.422,0.234,0.148,14.8,0.222,NOP,1,2,91,81,10,1,2
494,MIL,MIL @ ORL,11/27/16,48,0.523,0.233,0.115,11.5,0.217,0.451,0.185,0.082,8.2,0.189,ORL,0,2,104,96,8,1,2
495,SAC,SAC @ BKN,11/27/16,48,0.61,0.256,0.148,14.8,0.214,0.529,0.161,0.16,16,0.2,BKN,0,2,122,105,17,1,2
496,LAC,LAC @ IND,11/27/16,48,0.343,0.386,0.209,20.9,0.133,0.462,0.076,0.146,14.6,0.277,IND,0,2,70,91,-21,0,2
497,HOU,HOU @ POR,11/27/16,48,0.665,0.341,0.112,11.2,0.206,0.554,0.349,0.146,14.6,0.216,POR,0,2,130,114,16,1,2
498,DEN,DEN @ PHX,11/27/16,48,0.511,0.36,0.114,11.4,0.213,0.466,0.404,0.103,10.3,0.188,PHX,0,2,120,114,6,1,2
499,NOP,NOP @ DAL,11/27/16,48,0.422,0.234,0.148,14.8,0.222,0.481,0.26,0.138,13.8,0.256,DAL,0,2,81,91,-10,0,2
500,PHX,PHX vs. DEN,11/27/16,48,0.466,0.404,0.103,10.3,0.188,0.511,0.36,0.114,11.4,0.213,DEN,1,2,114,120,-6,0,2
501,BKN,BKN vs. SAC,11/27/16,48,0.529,0.161,0.16,16,0.2,0.61,0.256,0.148,14.8,0.214,SAC,1,2,105,122,-17,0,2
502,LAL,LAL vs. ATL,11/27/16,48,0.484,0.211,0.092,9.2,0.326,0.511,0.114,0.123,12.3,0.156,ATL,1,2,109,94,15,1,2
503,ORL,ORL vs. MIL,11/27/16,48,0.451,0.185,0.082,8.2,0.189,0.523,0.233,0.115,11.5,0.217,MIL,1,2,96,104,-8,0,2
504,NYK,NYK vs. OKC,11/28/16,48,0.429,0.308,0.052,5.2,0.25,0.543,0.196,0.144,14.4,0.378,OKC,1,2,103,112,-9,0,2
505,OKC,OKC @ NYK,11/28/16,48,0.543,0.196,0.144,14.4,0.378,0.429,0.308,0.052,5.2,0.25,NYK,0,2,112,103,9,1,2
506,MIA,MIA vs. BOS,11/28/16,48,0.513,0.4,0.13,13,0.171,0.548,0.313,0.102,10.2,0.15,BOS,1,2,104,112,-8,0,3
507,MEM,MEM vs. CHA,11/28/16,48,0.444,0.146,0.122,12.2,0.174,0.494,0.378,0.139,13.9,0.209,CHA,1,2,85,104,-19,0,2
508,WAS,WAS vs. SAC,11/28/16,53,0.471,0.306,0.219,21.9,0.262,0.425,0.28,0.179,17.9,0.255,SAC,1,2,101,95,6,1,1
509,GSW,GSW vs. ATL,11/28/16,48,0.506,0.282,0.145,14.5,0.159,0.465,0.353,0.182,18.2,0.277,ATL,1,2,105,100,5,1,1
510,CHA,CHA @ MEM,11/28/16,48,0.494,0.378,0.139,13.9,0.209,0.444,0.146,0.122,12.2,0.174,MEM,0,2,104,85,19,1,2
511,SAC,SAC @ WAS,11/28/16,53,0.425,0.28,0.179,17.9,0.255,0.471,0.306,0.219,21.9,0.262,WAS,0,1,95,101,-6,0,2
512,PHI,PHI @ TOR,11/28/16,48,0.5,0.151,0.167,16.7,0.261,0.63,0.403,0.127,12.7,0.235,TOR,0,1,95,122,-27,0,3
513,BOS,BOS @ MIA,11/28/16,48,0.548,0.313,0.102,10.2,0.15,0.513,0.4,0.13,13,0.171,MIA,0,3,112,104,8,1,2
514,TOR,TOR vs. PHI,11/28/16,48,0.63,0.403,0.127,12.7,0.235,0.5,0.151,0.167,16.7,0.261,PHI,1,3,122,95,27,1,1
515,MIN,MIN vs. UTA,11/28/16,48,0.488,0.309,0.155,15.5,0.25,0.532,0.43,0.128,12.8,0.293,UTA,1,2,103,112,-9,0,3
516,ATL,ATL @ GSW,11/28/16,48,0.465,0.353,0.182,18.2,0.277,0.506,0.282,0.145,14.5,0.159,GSW,0,1,100,105,-5,0,2
517,UTA,UTA @ MIN,11/28/16,48,0.532,0.43,0.128,12.8,0.293,0.488,0.309,0.155,15.5,0.25,MIN,0,3,112,103,9,1,2
518,CHA,CHA vs. DET,11/29/16,48,0.455,0.269,0.136,13.6,0.125,0.554,0.12,0.12,12,0.205,DET,1,1,89,112,-23,0,3
519,HOU,HOU @ UTA,11/29/16,48,0.467,0.242,0.076,7.6,0.3,0.655,0.365,0.11,11,0.179,UTA,0,2,101,120,-19,0,1
520,LAC,LAC @ BKN,11/29/16,58,0.482,0.202,0.115,11.5,0.193,0.495,0.346,0.104,10.4,0.151,BKN,0,2,122,127,-5,0,2
521,NOP,NOP vs. LAL,11/29/16,48,0.477,0.284,0.095,9.5,0.255,0.454,0.207,0.123,12.3,0.18,LAL,1,2,105,88,17,1,2
522,ORL,ORL @ SAS,11/29/16,48,0.488,0.14,0.136,13.6,0.205,0.401,0.342,0.197,19.7,0.244,SAS,0,2,95,83,12,1,3
523,CLE,CLE @ MIL,11/29/16,48,0.52,0.413,0.197,19.7,0.175,0.576,0.267,0.165,16.5,0.263,MIL,0,2,101,118,-17,0,2
524,MIL,MIL vs. CLE,11/29/16,48,0.576,0.267,0.165,16.5,0.263,0.52,0.413,0.197,19.7,0.175,CLE,1,2,118,101,17,1,2
525,BKN,BKN vs. LAC,11/29/16,58,0.495,0.346,0.104,10.4,0.151,0.482,0.202,0.115,11.5,0.193,LAC,1,2,127,122,5,1,2
526,DET,DET @ CHA,11/29/16,48,0.554,0.12,0.12,12,0.205,0.455,0.269,0.136,13.6,0.125,CHA,0,3,112,89,23,1,1
527,SAS,SAS vs. ORL,11/29/16,48,0.401,0.342,0.197,19.7,0.244,0.488,0.14,0.136,13.6,0.205,ORL,1,3,83,95,-12,0,2
528,LAL,LAL @ NOP,11/29/16,48,0.454,0.207,0.123,12.3,0.18,0.477,0.284,0.095,9.5,0.255,NOP,0,2,88,105,-17,0,2
529,UTA,UTA vs. HOU,11/29/16,48,0.655,0.365,0.11,11,0.179,0.467,0.242,0.076,7.6,0.3,HOU,1,1,120,101,19,1,2
530,POR,POR vs. IND,11/30/16,48,0.606,0.202,0.073,7.3,0.333,0.542,0.486,0.169,16.9,0.133,IND,1,3,131,109,22,1,3
531,PHX,PHX vs. ATL,11/30/16,48,0.506,0.281,0.163,16.3,0.283,0.556,0.112,0.203,20.3,0.2,ATL,1,3,109,107,2,1,2
532,MIA,MIA @ DEN,11/30/16,48,0.489,0.28,0.06,6,0.212,0.456,0.264,0.178,17.8,0.275,DEN,0,2,106,98,8,1,3
533,TOR,TOR vs. MEM,11/30/16,48,0.667,0.478,0.214,21.4,0.357,0.506,0.317,0.147,14.7,0.267,MEM,1,2,120,105,15,1,2
534,IND,IND @ POR,11/30/16,48,0.542,0.486,0.169,16.9,0.133,0.606,0.202,0.073,7.3,0.333,POR,0,3,109,131,-22,0,3
535,SAS,SAS @ DAL,11/30/16,48,0.542,0.338,0.139,13.9,0.194,0.494,0.182,0.138,13.8,0.186,DAL,0,1,94,87,7,1,3
536,MEM,MEM @ TOR,11/30/16,48,0.506,0.317,0.147,14.7,0.267,0.667,0.478,0.214,21.4,0.357,TOR,0,2,105,120,-15,0,2
537,LAL,LAL @ CHI,11/30/16,48,0.42,0.506,0.228,22.8,0.36,0.374,0.319,0.135,13.5,0.25,CHI,0,1,96,90,6,1,5
538,DAL,DAL vs. SAS,11/30/16,48,0.494,0.182,0.138,13.8,0.186,0.542,0.338,0.139,13.9,0.194,SAS,1,3,87,94,-7,0,1
539,WAS,WAS @ OKC,11/30/16,53,0.5,0.265,0.109,10.9,0.224,0.547,0.326,0.123,12.3,0.196,OKC,0,2,115,126,-11,0,2
540,NYK,NYK @ MIN,11/30/16,48,0.522,0.165,0.141,14.1,0.293,0.468,0.506,0.153,15.3,0.289,MIN,0,2,106,104,2,1,2
541,BOS,BOS vs. DET,11/30/16,48,0.522,0.22,0.062,6.2,0.188,0.603,0.241,0.117,11.7,0.351,DET,1,2,114,121,-7,0,1
542,CHI,CHI vs. LAL,11/30/16,48,0.374,0.319,0.135,13.5,0.25,0.42,0.506,0.228,22.8,0.36,LAL,1,5,90,96,-6,0,1
543,ATL,ATL @ PHX,11/30/16,48,0.556,0.112,0.203,20.3,0.2,0.506,0.281,0.163,16.3,0.283,PHX,0,2,107,109,-2,0,3
544,DET,DET @ BOS,11/30/16,48,0.603,0.241,0.117,11.7,0.351,0.522,0.22,0.062,6.2,0.188,BOS,0,1,121,114,7,1,2
545,OKC,OKC vs. WAS,11/30/16,53,0.547,0.326,0.123,12.3,0.196,0.5,0.265,0.109,10.9,0.224,WAS,1,2,126,115,11,1,2
546,MIN,MIN vs. NYK,11/30/16,48,0.468,0.506,0.153,15.3,0.289,0.522,0.165,0.141,14.1,0.293,NYK,1,2,104,106,-2,0,2
547,DEN,DEN vs. MIA,11/30/16,48,0.456,0.264,0.178,17.8,0.275,0.489,0.28,0.06,6,0.212,MIA,1,3,98,106,-8,0,2
548,ORL,ORL @ MEM,12/1/16,48,0.486,0.419,0.182,18.2,0.184,0.462,0.354,0.107,10.7,0.186,MEM,0,2,94,95,-1,0,1
549,MEM,MEM vs. ORL,12/1/16,48,0.462,0.354,0.107,10.7,0.186,0.486,0.419,0.182,18.2,0.184,ORL,1,1,95,94,1,1,2
550,HOU,HOU @ GSW,12/1/16,58,0.509,0.278,0.165,16.5,0.268,0.471,0.356,0.137,13.7,0.241,GSW,0,2,132,127,5,1,3
551,CHA,CHA vs. DAL,12/1/16,48,0.507,0.419,0.107,10.7,0.111,0.424,0.209,0.133,13.3,0.205,DAL,1,2,97,87,10,1,1
552,LAC,LAC @ CLE,12/1/16,48,0.545,0.27,0.123,12.3,0.318,0.471,0.565,0.183,18.3,0.154,CLE,0,2,113,94,19,1,2
553,CLE,CLE vs. LAC,12/1/16,48,0.471,0.565,0.183,18.3,0.154,0.545,0.27,0.123,12.3,0.318,LAC,1,2,94,113,-19,0,2
554,GSW,GSW vs. HOU,12/1/16,58,0.471,0.356,0.137,13.7,0.241,0.509,0.278,0.165,16.5,0.268,HOU,1,3,127,132,-5,0,2
555,DAL,DAL @ CHA,12/1/16,48,0.424,0.209,0.133,13.3,0.205,0.507,0.419,0.107,10.7,0.111,CHA,0,1,87,97,-10,0,2
556,BKN,BKN vs. MIL,12/1/16,48,0.449,0.18,0.176,17.6,0.261,0.544,0.363,0.194,19.4,0.333,MIL,1,2,93,111,-18,0,2
557,MIL,MIL @ BKN,12/1/16,48,0.544,0.363,0.194,19.4,0.333,0.449,0.18,0.176,17.6,0.261,BKN,0,2,111,93,18,1,2
558,MIA,MIA @ UTA,12/1/16,48,0.558,0.221,0.069,6.9,0.333,0.664,0.233,0.127,12.7,0.156,UTA,0,1,111,110,1,1,2
559,UTA,UTA vs. MIA,12/1/16,48,0.664,0.233,0.127,12.7,0.156,0.558,0.221,0.069,6.9,0.333,MIA,1,2,110,111,-1,0,1
560,LAL,LAL @ TOR,12/2/16,48,0.376,0.183,0.181,18.1,0.339,0.614,0.157,0.119,11.9,0.206,TOR,0,2,80,113,-33,0,2
561,SAS,SAS vs. WAS,12/2/16,48,0.538,0.413,0.154,15.4,0.261,0.549,0.222,0.2,20,0.265,WAS,1,2,107,105,2,1,2
562,SAC,SAC @ BOS,12/2/16,48,0.409,0.284,0.141,14.1,0.292,0.472,0.17,0.152,15.2,0.229,BOS,0,4,92,97,-5,0,2
563,CLE,CLE @ CHI,12/2/16,48,0.602,0.12,0.197,19.7,0.154,0.505,0.177,0.121,12.1,0.372,CHI,0,1,105,111,-6,0,2
564,DET,DET @ ATL,12/2/16,48,0.635,0.135,0.153,15.3,0.297,0.398,0.227,0.072,7.2,0.122,ATL,0,2,121,85,36,1,2
565,HOU,HOU @ DEN,12/2/16,48,0.608,0.284,0.127,12.7,0.25,0.486,0.154,0.155,15.5,0.436,DEN,0,1,128,110,18,1,2
566,BOS,BOS vs. SAC,12/2/16,48,0.472,0.17,0.152,15.2,0.229,0.409,0.284,0.141,14.1,0.292,SAC,1,2,97,92,5,1,4
567,CHI,CHI vs. CLE,12/2/16,48,0.505,0.177,0.121,12.1,0.372,0.602,0.12,0.197,19.7,0.154,CLE,1,2,111,105,6,1,1
568,PHI,PHI vs. ORL,12/2/16,48,0.426,0.105,0.106,10.6,0.273,0.558,0.333,0.127,12.7,0.184,ORL,1,4,88,105,-17,0,1
569,WAS,WAS @ SAS,12/2/16,48,0.549,0.222,0.2,20,0.265,0.538,0.413,0.154,15.4,0.261,SAS,0,2,105,107,-2,0,2
570,TOR,TOR vs. LAL,12/2/16,48,0.614,0.157,0.119,11.9,0.206,0.376,0.183,0.181,18.1,0.339,LAL,1,2,113,80,33,1,2
571,ORL,ORL @ PHI,12/2/16,48,0.558,0.333,0.127,12.7,0.184,0.426,0.105,0.106,10.6,0.273,PHI,0,1,105,88,17,1,4
572,DEN,DEN vs. HOU,12/2/16,48,0.486,0.154,0.155,15.5,0.436,0.608,0.284,0.127,12.7,0.25,HOU,1,2,110,128,-18,0,1
573,ATL,ATL vs. DET,12/2/16,48,0.398,0.227,0.072,7.2,0.122,0.635,0.135,0.153,15.3,0.297,DET,1,2,85,121,-36,0,2
574,NYK,NYK vs. MIN,12/2/16,48,0.547,0.349,0.145,14.5,0.268,0.523,0.273,0.141,14.1,0.289,MIN,1,2,118,114,4,1,2
575,MIN,MIN @ NYK,12/2/16,48,0.523,0.273,0.141,14.1,0.289,0.547,0.349,0.145,14.5,0.268,NYK,0,2,114,118,-4,0,2
576,LAC,LAC @ NOP,12/2/16,48,0.568,0.182,0.098,9.8,0.286,0.488,0.247,0.134,13.4,0.222,NOP,0,1,114,96,18,1,3
577,NOP,NOP vs. LAC,12/2/16,48,0.488,0.247,0.134,13.4,0.222,0.568,0.182,0.098,9.8,0.286,LAC,1,3,96,114,-18,0,1
578,PHI,PHI vs. BOS,12/3/16,48,0.559,0.342,0.176,17.6,0.205,0.553,0.382,0.117,11.7,0.167,BOS,1,1,106,107,-1,0,1
579,TOR,TOR vs. ATL,12/3/16,48,0.647,0.12,0.15,15,0.324,0.438,0.159,0.19,19,0.265,ATL,1,1,128,84,44,1,1
580,PHX,PHX @ GSW,12/3/16,48,0.511,0.231,0.148,14.8,0.304,0.718,0.436,0.164,16.4,0.214,GSW,0,3,109,138,-29,0,2
581,DEN,DEN @ UTA,12/3/16,48,0.524,0.169,0.146,14.6,0.175,0.506,0.359,0.097,9.7,0.189,UTA,0,1,98,105,-7,0,2
582,UTA,UTA vs. DEN,12/3/16,48,0.506,0.359,0.097,9.7,0.189,0.524,0.169,0.146,14.6,0.175,DEN,1,2,105,98,7,1,1
583,MIN,MIN @ CHA,12/3/16,53,0.5,0.208,0.098,9.8,0.275,0.505,0.257,0.131,13.1,0.26,CHA,0,1,125,120,5,1,2
584,MIA,MIA @ POR,12/3/16,48,0.477,0.174,0.142,14.2,0.186,0.455,0.27,0.093,9.3,0.24,POR,0,2,92,99,-7,0,3
585,ATL,ATL @ TOR,12/3/16,48,0.438,0.159,0.19,19,0.265,0.647,0.12,0.15,15,0.324,TOR,0,1,84,128,-44,0,1
586,BKN,BKN @ MIL,12/3/16,48,0.434,0.363,0.128,12.8,0.204,0.506,0.424,0.113,11.3,0.163,MIL,0,2,103,112,-9,0,2
587,DAL,DAL vs. CHI,12/3/16,48,0.534,0.207,0.109,10.9,0.289,0.472,0.296,0.224,22.4,0.275,CHI,1,2,107,82,25,1,1
588,BOS,BOS @ PHI,12/3/16,48,0.553,0.382,0.117,11.7,0.167,0.559,0.342,0.176,17.6,0.205,PHI,0,1,107,106,1,1,1
589,CHI,CHI @ DAL,12/3/16,48,0.472,0.296,0.224,22.4,0.275,0.534,0.207,0.109,10.9,0.289,DAL,0,1,82,107,-25,0,2
590,MEM,MEM vs. LAL,12/3/16,48,0.523,0.17,0.13,13,0.318,0.475,0.358,0.184,18.4,0.326,LAL,1,2,103,100,3,1,1
591,CHA,CHA vs. MIN,12/3/16,53,0.505,0.257,0.131,13.1,0.26,0.5,0.208,0.098,9.8,0.275,MIN,1,2,120,125,-5,0,1
592,POR,POR vs. MIA,12/3/16,48,0.455,0.27,0.093,9.3,0.24,0.477,0.174,0.142,14.2,0.186,MIA,1,3,99,92,7,1,2
593,LAL,LAL @ MEM,12/3/16,48,0.475,0.358,0.184,18.4,0.326,0.523,0.17,0.13,13,0.318,MEM,0,1,100,103,-3,0,2
594,MIL,MIL vs. BKN,12/3/16,48,0.506,0.424,0.113,11.3,0.163,0.434,0.363,0.128,12.8,0.204,BKN,1,2,112,103,9,1,2
595,GSW,GSW vs. PHX,12/3/16,48,0.718,0.436,0.164,16.4,0.214,0.511,0.231,0.148,14.8,0.304,PHX,1,2,138,109,29,1,3
596,NOP,NOP @ OKC,12/4/16,48,0.398,0.194,0.104,10.4,0.2,0.494,0.292,0.152,15.2,0.22,OKC,0,2,92,101,-9,0,4
597,DET,DET vs. ORL,12/4/16,48,0.5,0.151,0.137,13.7,0.222,0.576,0.177,0.119,11.9,0.105,ORL,1,2,92,98,-6,0,2
598,NYK,NYK vs. SAC,12/4/16,48,0.506,0.273,0.183,18.3,0.298,0.366,0.32,0.106,10.6,0.29,SAC,1,2,106,98,8,1,2
599,OKC,OKC vs. NOP,12/4/16,48,0.494,0.292,0.152,15.2,0.22,0.398,0.194,0.104,10.4,0.2,NOP,1,4,101,92,9,1,2
600,SAC,SAC @ NYK,12/4/16,48,0.366,0.32,0.106,10.6,0.29,0.506,0.273,0.183,18.3,0.298,NYK,0,2,98,106,-8,0,2
601,ORL,ORL @ DET,12/4/16,48,0.576,0.177,0.119,11.9,0.105,0.5,0.151,0.137,13.7,0.222,DET,0,2,98,92,6,1,2
602,LAC,LAC vs. IND,12/4/16,48,0.506,0.346,0.206,20.6,0.34,0.525,0.443,0.11,11,0.125,IND,1,2,102,111,-9,0,4
603,IND,IND @ LAC,12/4/16,48,0.525,0.443,0.11,11,0.125,0.506,0.346,0.206,20.6,0.34,LAC,0,4,111,102,9,1,2
604,TOR,TOR vs. CLE,12/5/16,48,0.506,0.307,0.072,7.2,0.222,0.56,0.321,0.162,16.2,0.361,CLE,1,2,112,116,-4,0,3
605,LAL,LAL vs. UTA,12/5/16,48,0.477,0.264,0.118,11.8,0.349,0.556,0.363,0.128,12.8,0.282,UTA,1,2,101,107,-6,0,2
606,GSW,GSW vs. IND,12/5/16,48,0.587,0.25,0.1,10,0.34,0.429,0.412,0.133,13.3,0.191,IND,1,2,142,106,36,1,1
607,MIL,MIL vs. SAS,12/5/16,48,0.452,0.466,0.147,14.7,0.171,0.473,0.151,0.147,14.7,0.25,SAS,1,2,96,97,-1,0,3
608,ATL,ATL vs. OKC,12/5/16,48,0.487,0.416,0.176,17.6,0.167,0.525,0.35,0.184,18.4,0.216,OKC,1,2,99,102,-3,0,1
609,CHA,CHA @ DAL,12/5/16,48,0.525,0.354,0.127,12.7,0.257,0.489,0.202,0.074,7.4,0.17,DAL,0,2,109,101,8,1,2
610,DAL,DAL vs. CHA,12/5/16,48,0.489,0.202,0.074,7.4,0.17,0.525,0.354,0.127,12.7,0.257,CHA,1,2,101,109,-8,0,2
611,IND,IND @ GSW,12/5/16,48,0.429,0.412,0.133,13.3,0.191,0.587,0.25,0.1,10,0.34,GSW,0,1,106,142,-36,0,2
612,HOU,HOU vs. BOS,12/5/16,48,0.526,0.408,0.171,17.1,0.179,0.48,0.121,0.104,10.4,0.204,BOS,1,3,107,106,1,1,2
613,BKN,BKN vs. WAS,12/5/16,48,0.562,0.37,0.213,21.3,0.325,0.565,0.196,0.098,9.8,0.178,WAS,1,2,113,118,-5,0,3
614,POR,POR @ CHI,12/5/16,48,0.532,0.194,0.099,9.9,0.222,0.464,0.458,0.15,15,0.349,CHI,0,2,112,110,2,1,2
615,MEM,MEM @ NOP,12/5/16,58,0.466,0.202,0.123,12.3,0.213,0.444,0.212,0.113,11.3,0.111,NOP,0,2,110,108,2,1,1
616,NOP,NOP vs. MEM,12/5/16,58,0.444,0.212,0.113,11.3,0.111,0.466,0.202,0.123,12.3,0.213,MEM,1,1,108,110,-2,0,2
617,DEN,DEN @ PHI,12/5/16,48,0.526,0.447,0.19,19,0.238,0.471,0.267,0.184,18.4,0.255,PHI,0,2,106,98,8,1,2
