,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_OREB%,OPP,REST,OPP_REST,W/L,Home/Away,+/-
45,BKN,11/26/2017,48,53.4%,0.311,20.9,33.3%,45.0%,0.225,15.4,26.2%,MEM,2,2,1,0,10
46,BKN,11/27/2017,48,52.3%,0.198,13.8,15.0%,60.5%,0.233,14.7,17.8%,HOU,1,2,0,0,-14
47,BKN,11/29/2017,48,52.8%,0.278,13.9,27.5%,51.8%,0.25,11.3,15.6%,DAL,2,2,1,0,5
48,BKN,12/02/2017,48,51.8%,0.256,19.3,26.1%,52.5%,0.141,9.8,27.7%,ATL,3,2,0,1,-12
49,BKN,12/04/2017,48,57.1%,0.17600000000000002,23.2,29.3%,42.1%,0.32899999999999996,17.5,18.4%,ATL,2,2,1,0,20
50,BKN,12/07/2017,48,50.6%,0.375,15.7,15.9%,42.3%,0.235,11.6,28.8%,OKC,3,2,1,1,5
51,BKN,12/09/2017,48,45.1%,0.235,14.7,18.2%,51.1%,0.156,6.4,18.6%,MIA,2,3,0,1,-12
52,BKN,12/12/2017,48,46.4%,0.39299999999999996,13.5,19.6%,42.1%,0.23199999999999998,10.6,21.4%,WAS,3,3,1,1,5
53,BOS,10/17/2017,48,45.5%,0.284,11.8,18.0%,48.8%,0.301,16.7,19.6%,CLE,0,0,0,0,-3
54,BOS,10/18/2017,48,48.9%,0.231,14.4,22.0%,54.6%,0.395,15.3,15.8%,MIL,1,0,0,1,-8
55,BOS,10/20/2017,48,47.6%,0.381,18.4,29.8%,43.5%,0.174,16.7,25.5%,PHI,2,2,1,0,10
56,BOS,10/24/2017,48,58.7%,0.36,14.6,13.5%,42.9%,0.294,14.1,23.4%,NYK,4,3,1,1,21
57,BOS,10/26/2017,48,49.4%,0.282,16.4,14.6%,52.6%,0.182,18.2,4.9%,MIL,2,3,1,0,7
58,BOS,10/28/2017,48,45.7%,0.321,12.8,24.4%,47.5%,0.203,19.2,16.7%,MIA,2,3,1,0,6
59,BOS,10/30/2017,48,54.0%,0.182,15.8,34.9%,48.3%,0.23,11.6,23.5%,SAS,2,1,1,1,14
60,BOS,11/01/2017,48,59.1%,0.23199999999999998,20.4,45.7%,46.9%,0.14800000000000002,15.9,16.3%,SAC,2,1,1,1,27
