TEAM,MATCH UP,GAME DATE,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP_TEAM,OPP_PTS,OPP_FGM,OPP_FGA,OPP_FG%,OPP_3PM,OPP_3PA,OPP_3P%,OPP_FTM,OPP_FTA,OPP_FT%,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_PF,Home/Away,Rest,temp,diff,WIN
BOS,BOS vs. NYK,11/11/2016,48,115,35,90,38.9,11,27,40.7,34,43,79.1,19,34,53,23,16,16,3,18,28,NYK,87,33,94,35.1,6,23,26.1,15,17,88.2,21,36,57,19,25,7,11,26,1,2,2016-11-11,2.0,1
BOS,BOS @ IND,11/12/2016,48,105,35,80,43.8,8,25,32.0,27,33,81.8,15,32,47,22,14,7,7,21,6,IND,99,36,86,41.9,6,27,22.2,21,28,75.0,11,29,40,17,14,9,9,22,0,1,2016-11-12,1.0,1
BOS,BOS @ NOP,11/14/2016,48,105,38,95,40.0,12,41,29.3,17,20,85.0,11,33,44,19,12,9,0,27,-1,NOP,106,35,79,44.3,6,21,28.6,30,36,83.3,8,38,46,16,17,9,4,17,0,2,2016-11-14,2.0,0
BOS,BOS vs. DAL,11/16/2016,48,90,33,76,43.4,7,21,33.3,17,23,73.9,13,40,53,18,19,6,3,17,7,DAL,83,34,83,41.0,8,23,34.8,7,10,70.0,5,27,32,16,9,9,3,19,1,2,2016-11-16,2.0,1
BOS,BOS vs. GSW,11/18/2016,48,88,31,83,37.3,11,32,34.4,15,19,78.9,7,36,43,19,13,6,3,12,-16,GSW,104,44,90,48.9,9,28,32.1,7,12,58.3,9,41,50,33,11,10,7,20,1,2,2016-11-18,2.0,0
BOS,BOS @ DET,11/19/2016,48,94,33,82,40.2,12,31,38.7,16,17,94.1,9,37,46,22,8,3,7,13,2,DET,92,37,86,43.0,7,20,35.0,11,16,68.8,11,39,50,22,7,5,4,13,0,1,2016-11-19,1.0,1
BOS,BOS @ MIN,11/21/2016,48,99,38,84,45.2,12,38,31.6,11,14,78.6,6,33,39,20,12,5,4,21,6,MIN,93,36,86,41.9,4,24,16.7,17,25,68.0,16,35,51,23,15,5,4,19,0,2,2016-11-21,2.0,1
BOS,BOS @ BKN,11/23/2016,48,111,45,98,45.9,15,38,39.5,6,8,75.0,12,39,51,26,14,13,6,22,19,BKN,92,34,86,39.5,10,31,32.3,14,22,63.6,9,36,45,18,19,7,7,12,0,2,2016-11-23,2.0,1
BOS,BOS vs. SAS,11/25/2016,48,103,42,91,46.2,12,34,35.3,7,9,77.8,8,28,36,32,10,8,4,21,-6,SAS,109,38,81,46.9,11,24,45.8,22,25,88.0,13,32,45,24,17,4,8,12,1,2,2016-11-25,2.0,0
BOS,BOS @ MIA,11/28/2016,48,112,40,83,48.2,11,27,40.7,21,26,80.8,6,34,40,26,10,4,3,27,8,MIA,104,38,80,47.5,6,30,20.0,22,32,68.8,7,34,41,24,13,6,2,25,0,3,2016-11-28,3.0,1
BOS,BOS vs. DET,11/30/2016,48,114,40,91,44.0,15,42,35.7,19,20,95.0,9,24,33,26,6,6,3,17,-7,DET,121,48,87,55.2,9,20,45.0,16,21,76.2,13,39,52,28,11,4,8,19,1,2,2016-11-30,2.0,0
BOS,BOS vs. SAC,12/02/2016,48,97,36,88,40.9,11,28,39.3,14,15,93.3,11,34,45,25,15,10,9,22,5,SAC,92,33,88,37.5,6,26,23.1,20,25,80.0,14,37,51,22,14,9,10,16,1,2,2016-12-02,2.0,1
BOS,BOS @ PHI,12/03/2016,48,107,38,76,50.0,8,26,30.8,23,29,79.3,6,31,37,22,11,5,3,21,1,PHI,106,35,76,46.1,15,33,45.5,21,26,80.8,8,30,38,20,17,5,3,23,0,1,2016-12-03,1.0,1
BOS,BOS @ HOU,12/05/2016,48,106,42,99,42.4,11,32,34.4,11,12,91.7,10,32,42,27,11,7,4,20,-1,HOU,107,34,76,44.7,12,38,31.6,27,31,87.1,7,39,46,20,17,8,7,14,0,2,2016-12-05,2.0,0
BOS,BOS @ ORL,12/07/2016,48,117,43,84,51.2,7,26,26.9,24,29,82.8,11,38,49,29,10,7,4,19,30,ORL,87,30,81,37.0,11,26,42.3,16,24,66.7,8,29,37,20,14,7,1,26,0,2,2016-12-07,2.0,1
BOS,BOS vs. TOR,12/09/2016,48,94,31,83,37.3,17,42,40.5,15,22,68.2,8,38,46,24,14,5,4,18,-7,TOR,101,34,82,41.5,9,20,45.0,24,27,88.9,8,42,50,12,11,9,2,22,1,2,2016-12-09,2.0,0
BOS,BOS @ OKC,12/11/2016,48,96,40,90,44.4,11,32,34.4,5,8,62.5,12,28,40,28,14,9,4,22,-3,OKC,99,41,83,49.4,3,21,14.3,14,27,51.9,15,34,49,17,13,9,7,9,0,2,2016-12-11,2.0,0
BOS,BOS @ SAS,12/14/2016,48,101,37,84,44.0,10,31,32.3,17,20,85.0,8,27,35,25,13,12,3,13,-7,SAS,108,44,80,55.0,8,22,36.4,12,14,85.7,5,33,38,33,16,9,3,17,0,3,2016-12-14,3.0,0
BOS,BOS vs. CHA,12/16/2016,48,96,34,78,43.6,9,28,32.1,19,26,73.1,5,41,46,26,13,7,8,15,8,CHA,88,32,97,33.0,8,30,26.7,16,19,84.2,16,37,53,21,12,10,4,21,1,2,2016-12-16,2.0,1
BOS,BOS @ MIA,12/18/2016,48,105,41,90,45.6,9,28,32.1,14,19,73.7,11,26,37,21,13,13,2,16,10,MIA,95,36,69,52.2,9,24,37.5,14,25,56.0,6,35,41,23,23,7,5,20,0,2,2016-12-18,2.0,1
BOS,BOS @ MEM,12/20/2016,53,112,33,81,40.7,12,37,32.4,34,38,89.5,8,33,41,22,13,7,5,22,3,MEM,109,38,94,40.4,12,30,40.0,21,26,80.8,17,35,52,23,13,10,3,30,0,2,2016-12-20,2.0,1
BOS,BOS @ IND,12/22/2016,48,109,38,92,41.3,10,39,25.6,23,27,85.2,9,35,44,19,10,10,2,27,7,IND,102,35,82,42.7,7,23,30.4,25,29,86.2,8,42,50,20,19,5,3,21,0,2,2016-12-22,2.0,1
BOS,BOS vs. OKC,12/23/2016,48,112,41,93,44.1,9,28,32.1,21,26,80.8,10,29,39,29,13,8,2,29,-5,OKC,117,41,80,51.3,11,26,42.3,24,36,66.7,10,34,44,27,13,5,6,21,1,1,2016-12-23,1.0,0
BOS,BOS @ NYK,12/25/2016,48,119,45,93,48.4,14,36,38.9,15,20,75.0,12,27,39,25,7,10,2,20,5,NYK,114,41,87,47.1,8,23,34.8,24,27,88.9,17,32,49,11,17,5,6,23,0,2,2016-12-25,2.0,1
BOS,BOS vs. MEM,12/27/2016,48,113,41,85,48.2,12,31,38.7,19,21,90.5,14,33,47,30,18,6,7,24,10,MEM,103,37,88,42.0,9,30,30.0,20,29,69.0,13,24,37,22,11,14,5,18,1,2,2016-12-27,2.0,1
BOS,BOS @ CLE,12/29/2016,48,118,43,85,50.6,12,37,32.4,20,21,95.2,6,23,29,26,11,15,4,23,-6,CLE,124,43,83,51.8,14,38,36.8,24,33,72.7,13,33,46,29,18,7,3,16,0,2,2016-12-29,2.0,0
BOS,BOS vs. MIA,12/30/2016,48,117,38,74,51.4,17,32,53.1,24,29,82.8,5,25,30,28,14,6,2,11,3,MIA,114,48,90,53.3,11,28,39.3,7,10,70.0,9,30,39,35,12,7,8,20,1,1,2016-12-30,1.0,1
BOS,BOS vs. UTA,01/03/2017,48,115,41,74,55.4,17,31,54.8,16,17,94.1,4,28,32,31,14,5,6,22,11,UTA,104,38,82,46.3,11,26,42.3,17,21,81.0,8,27,35,27,11,7,3,17,1,4,2017-01-03,4.0,1
BOS,BOS vs. PHI,01/06/2017,48,110,35,87,40.2,19,40,47.5,21,25,84.0,12,30,42,28,18,6,11,22,4,PHI,106,37,79,46.8,9,28,32.1,23,26,88.5,4,37,41,30,15,9,11,23,1,3,2017-01-06,3.0,1
BOS,BOS vs. NOP,01/07/2017,48,117,40,93,43.0,18,36,50.0,19,21,90.5,15,32,47,26,10,6,5,22,9,NOP,108,40,85,47.1,10,31,32.3,18,23,78.3,9,33,42,22,12,7,7,20,1,1,2017-01-07,1.0,1
BOS,BOS @ TOR,01/10/2017,48,106,40,85,47.1,9,27,33.3,17,20,85.0,6,27,33,21,15,7,3,20,-8,TOR,114,41,87,47.1,10,22,45.5,22,27,81.5,17,33,50,17,18,9,7,21,0,3,2017-01-10,3.0,0
