,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV,OPP_TOV%,OPP_OREB%,OPP,REST,OPP_REST,W/L,Home/Away,+/-
45,BKN,11/26/17,48,0.534,0.311,20.9,0.209,0.333,0.45,0.225,15.4,0.154,0.262,MEM,2,2,1,0,10
46,BKN,11/27/17,48,0.523,0.198,13.8,0.138,0.15,0.605,0.233,14.7,0.147,0.178,HOU,1,2,0,0,-14
47,BKN,11/29/17,48,0.528,0.278,13.9,0.139,0.275,0.518,0.25,11.3,0.113,0.156,DAL,2,2,1,0,5
48,BKN,12/2/17,48,0.518,0.256,19.3,0.193,0.261,0.525,0.141,9.8,0.098,0.277,ATL,3,2,0,1,-12
49,BKN,12/4/17,48,0.571,0.176,23.2,0.232,0.293,0.421,0.329,17.5,0.175,0.184,ATL,2,2,1,0,20
50,BKN,12/7/17,48,0.506,0.375,15.7,0.157,0.159,0.423,0.235,11.6,0.116,0.288,OKC,3,2,1,1,5
51,BKN,12/9/17,48,0.451,0.235,14.7,0.147,0.182,0.511,0.156,6.4,0.064,0.186,MIA,2,3,0,1,-12
52,BKN,12/12/17,48,0.464,0.393,13.5,0.135,0.196,0.421,0.232,10.6,0.106,0.214,WAS,3,3,1,1,5
53,BOS,10/17/17,48,0.455,0.284,11.8,0.118,0.18,0.488,0.301,16.7,0.167,0.196,CLE,0,0,0,0,-3
54,BOS,10/18/17,48,0.489,0.231,14.4,0.144,0.22,0.546,0.395,15.3,0.153,0.158,MIL,1,0,0,1,-8
55,BOS,10/20/17,48,0.476,0.381,18.4,0.184,0.298,0.435,0.174,16.7,0.167,0.255,PHI,2,2,1,0,10
56,BOS,10/24/17,48,0.587,0.36,14.6,0.146,0.135,0.429,0.294,14.1,0.141,0.234,NYK,4,3,1,1,21
57,BOS,10/26/17,48,0.494,0.282,16.4,0.164,0.146,0.526,0.182,18.2,0.182,0.049,MIL,2,3,1,0,7
58,BOS,10/28/17,48,0.457,0.321,12.8,0.128,0.244,0.475,0.203,19.2,0.192,0.167,MIA,2,3,1,0,6
59,BOS,10/30/17,48,0.54,0.182,15.8,0.158,0.349,0.483,0.23,11.6,0.116,0.235,SAS,2,1,1,1,14
60,BOS,11/1/17,48,0.591,0.232,20.4,0.204,0.457,0.469,0.148,15.9,0.159,0.163,SAC,2,1,1,1,27
61,BOS,11/3/17,48,0.506,0.286,11.6,0.116,0.229,0.477,0.161,12.7,0.127,0.224,OKC,2,3,1,0,7
62,BOS,11/5/17,48,0.5,0.225,13.6,0.136,0.205,0.396,0.198,12.8,0.128,0.182,ORL,2,2,1,0,16
63,BOS,11/6/17,48,0.568,0.272,14.3,0.143,0.184,0.562,0.247,14.2,0.142,0.125,ATL,1,1,1,0,3
64,BOS,11/8/17,48,0.423,0.316,12.8,0.128,0.308,0.465,0.271,20.2,0.202,0.273,LAL,2,3,1,1,11
65,BOS,11/10/17,48,0.411,0.298,13.1,0.131,0.184,0.425,0.413,13.8,0.138,0.149,CHA,2,3,1,1,3
66,BOS,11/12/17,48,0.46,0.218,15.7,0.157,0.333,0.536,0.333,18.9,0.189,0.162,TOR,2,3,1,1,1
67,BOS,11/14/17,48,0.506,0.314,13.6,0.136,0.209,0.523,0.182,14.8,0.148,0.184,BKN,2,3,1,0,7
68,BOS,11/16/17,48,0.373,0.481,14.5,0.145,0.149,0.463,0.232,15.3,0.153,0.135,GSW,2,3,1,1,4
69,BOS,11/18/17,48,0.573,0.244,16.4,0.164,0.237,0.532,0.256,14.8,0.148,0.158,ATL,2,3,1,0,11
70,BOS,11/20/17,53,0.53,0.31,15.8,0.158,0.119,0.443,0.208,10.2,0.102,0.143,DAL,2,2,1,0,8
71,BOS,11/22/17,48,0.47,0.321,11,0.11,0.146,0.556,0.198,16.5,0.165,0.189,MIA,2,3,0,0,-6
72,BOS,11/24/17,48,0.555,0.275,9.2,0.092,0.271,0.479,0.2,12.1,0.121,0.327,ORL,2,2,1,1,15
73,BOS,11/25/17,48,0.625,0.113,15.8,0.158,0.133,0.532,0.192,21.1,0.211,0.278,IND,1,1,1,0,10
74,BOS,11/27/17,48,0.623,0.273,17.3,0.173,0.135,0.582,0.271,8.4,0.084,0.205,DET,2,3,0,1,-10
75,BOS,11/30/17,48,0.582,0.253,17.4,0.174,0.189,0.512,0.214,19.8,0.198,0.313,PHI,3,1,1,1,11
76,BOS,12/2/17,48,0.613,0.288,9.5,0.095,0.114,0.51,0.109,11.8,0.118,0.372,PHX,2,3,1,1,5
77,BOS,12/4/17,48,0.615,0.244,16.1,0.161,0.242,0.506,0.308,10.5,0.105,0.075,MIL,2,2,1,1,11
78,BOS,12/6/17,48,0.483,0.195,12.3,0.123,0.188,0.448,0.198,11.2,0.112,0.12,DAL,2,2,1,1,7
79,BOS,12/8/17,48,0.524,0.205,15,0.15,0.256,0.519,0.296,14.4,0.144,0.333,SAS,2,2,0,0,-3
80,BOS,12/10/17,48,0.487,0.228,15.2,0.152,0.205,0.393,0.226,10.9,0.109,0.212,DET,2,2,1,0,10
81,BOS,12/11/17,48,0.458,0.169,17,0.17,0.234,0.556,0.309,9.9,0.099,0.222,CHI,1,2,0,0,-23
82,CHA,10/18/17,48,0.459,0.397,17,0.17,0.073,0.474,0.125,8.9,0.089,0.17,DET,0,0,0,0,-12
83,CHA,10/20/17,48,0.494,0.349,19.4,0.194,0.273,0.416,0.147,12,0.12,0.118,ATL,2,2,1,1,18
84,CHA,10/23/17,48,0.468,0.462,14.3,0.143,0.213,0.524,0.188,13,0.13,0.116,MIL,3,2,0,0,-9
85,CHA,10/25/17,48,0.549,0.321,14.5,0.145,0.233,0.42,0.15,13.6,0.136,0.31,DEN,2,2,1,1,17
86,CHA,10/27/17,48,0.438,0.318,9.2,0.092,0.2,0.576,0.153,16,0.16,0.175,HOU,2,2,0,1,-16
87,CHA,10/29/17,48,0.577,0.175,15.5,0.155,0.286,0.479,0.268,10,0.1,0.161,ORL,2,2,1,1,7
88,CHA,10/30/17,48,0.455,0.326,11.6,0.116,0.213,0.387,0.355,6.8,0.068,0.193,MEM,1,2,1,0,5
89,CHA,11/1/17,48,0.619,0.345,10.9,0.109,0.184,0.599,0.165,13.6,0.136,0.209,MIL,2,1,1,1,5
90,CHA,11/3/17,48,0.463,0.525,12.1,0.121,0.224,0.524,0.313,15.5,0.155,0.167,SAS,2,1,0,0,-7
91,CHA,11/5/17,48,0.466,0.236,11.1,0.111,0.192,0.518,0.361,16,0.16,0.286,MIN,2,1,0,0,-18
92,CHA,11/7/17,48,0.544,0.187,13.8,0.138,0.37,0.68,0.28,17,0.17,0.207,NYK,2,2,0,0,-5
93,CHA,11/10/17,48,0.425,0.413,13.8,0.138,0.149,0.411,0.298,13.1,0.131,0.184,BOS,3,2,0,0,-3
94,CHA,11/15/17,48,0.512,0.326,12.6,0.126,0.186,0.511,0.211,13.8,0.138,0.327,CLE,5,2,0,1,-8
95,CHA,11/17/17,48,0.58,0.42,12.5,0.125,0.139,0.61,0.143,10.6,0.106,0.098,CHI,2,2,0,0,-3
96,CHA,11/18/17,48,0.454,0.333,8,0.08,0.178,0.446,0.229,14.2,0.142,0.146,LAC,1,1,1,1,15
97,CHA,11/20/17,48,0.559,0.341,16.4,0.164,0.282,0.444,0.289,10.7,0.107,0.196,MIN,2,1,1,1,16
98,CHA,11/22/17,53,0.527,0.44,11.3,0.113,0.292,0.54,0.222,11.5,0.115,0.209,WAS,2,2,1,1,5
99,CHA,11/24/17,48,0.441,0.287,9,0.09,0.263,0.536,0.181,12.2,0.122,0.07,CLE,2,2,0,0,-1
100,CHA,11/25/17,48,0.393,0.31,14.7,0.147,0.275,0.519,0.309,11.6,0.116,0.222,SAS,1,3,0,1,-20
101,CHA,11/29/17,48,0.525,0.443,12.9,0.129,0.2,0.602,0.112,8.9,0.089,0.275,TOR,4,4,0,0,-13
102,CHA,12/1/17,48,0.513,0.266,21.9,0.219,0.25,0.575,0.263,21.5,0.215,0.231,MIA,2,2,0,0,-5
103,CHA,12/4/17,48,0.423,0.476,14.2,0.142,0.239,0.5,0.171,19.4,0.194,0.109,ORL,3,1,1,1,10
104,CHA,12/6/17,48,0.381,0.175,11.7,0.117,0.264,0.542,0.155,15.5,0.155,0.186,GSW,2,2,0,1,-14
105,CHA,12/8/17,53,0.45,0.29,9.6,0.096,0.153,0.515,0.222,12,0.12,0.128,CHI,2,2,0,1,-8
106,CHA,12/9/17,48,0.484,0.151,10.9,0.109,0.184,0.559,0.247,13.7,0.137,0.15,LAL,1,2,0,1,-11
107,CHA,12/11/17,48,0.611,0.296,15.4,0.154,0.243,0.465,0.294,15,0.15,0.256,OKC,2,2,1,0,13
108,CHI,10/19/17,48,0.472,0.213,17.9,0.179,0.217,0.548,0.337,17.1,0.171,0.31,TOR,0,0,0,0,-17
109,CHI,10/21/17,48,0.427,0.11,20.4,0.204,0.174,0.414,0.172,11.3,0.113,0.259,SAS,2,3,0,1,-10
110,CHI,10/24/17,48,0.574,0.148,12.3,0.123,0.205,0.614,0.265,9.6,0.096,0.205,CLE,3,3,0,0,-7
111,CHI,10/26/17,48,0.401,0.337,16.5,0.165,0.353,0.463,0.16,11.1,0.111,0.137,ATL,2,3,1,1,5
112,CHI,10/28/17,48,0.346,0.256,21.1,0.211,0.226,0.517,0.159,12.6,0.126,0.239,OKC,2,1,0,1,-32
113,CHI,11/1/17,48,0.444,0.213,11.7,0.117,0.135,0.482,0.229,11.1,0.111,0.06,MIA,4,2,0,0,-6
114,CHI,11/3/17,48,0.553,0.141,17.3,0.173,0.225,0.465,0.058,16.5,0.165,0.152,ORL,2,2,1,0,22
115,CHI,11/4/17,53,0.409,0.121,17.7,0.177,0.254,0.454,0.253,14.1,0.141,0.106,NOP,1,1,0,1,-6
116,CHI,11/7/17,48,0.569,0.35,15.1,0.151,0.211,0.623,0.296,15.9,0.159,0.194,TOR,3,2,0,0,-5
117,CHI,11/10/17,48,0.435,0.097,12.2,0.122,0.2,0.583,0.143,17.9,0.179,0.179,IND,3,2,0,1,-18
118,CHI,11/11/17,48,0.5,0.151,13,0.13,0.122,0.706,0.188,14.3,0.143,0.258,SAS,1,1,0,0,-39
119,CHI,11/15/17,48,0.42,0.267,17.9,0.179,0.14,0.417,0.514,15.3,0.153,0.256,OKC,4,3,0,0,-13
120,CHI,11/17/17,48,0.61,0.143,10.6,0.106,0.098,0.58,0.42,12.5,0.125,0.139,CHA,2,2,1,1,3
121,CHI,11/19/17,48,0.475,0.139,12,0.12,0.235,0.545,0.247,10.9,0.109,0.205,PHX,2,2,0,0,-8
122,CHI,11/21/17,48,0.441,0.17,14,0.14,0.268,0.472,0.278,13.6,0.136,0.235,LAL,2,2,0,0,-9
123,CHI,11/22/17,48,0.404,0.256,16.9,0.169,0.178,0.547,0.221,7.5,0.075,0.186,UTA,1,2,0,0,-30
124,CHI,11/24/17,48,0.419,0.152,13.9,0.139,0.232,0.67,0.231,10.5,0.105,0.182,GSW,2,2,0,0,-49
125,CHI,11/26/17,48,0.449,0.18,14.4,0.144,0.137,0.54,0.307,13.4,0.134,0.024,MIA,2,2,0,1,-7
126,CHI,11/28/17,48,0.489,0.106,9.1,0.091,0.17,0.5,0.264,15.1,0.151,0.289,PHX,2,2,0,1,-5
127,CHI,11/30/17,48,0.591,0.256,11.4,0.114,0.154,0.53,0.373,12.3,0.123,0.244,DEN,2,2,0,0,-1
128,CHI,12/1/17,48,0.539,0.144,9.3,0.093,0.186,0.565,0.165,12.6,0.126,0.211,SAC,1,3,0,1,-1
129,CHI,12/4/17,48,0.47,0.22,12.1,0.121,0.196,0.599,0.21,8.7,0.087,0.132,CLE,3,2,0,1,-22
130,CHI,12/6/17,48,0.53,0.193,16.8,0.168,0.256,0.517,0.115,13.3,0.133,0.167,IND,2,2,0,0,-2
131,CHI,12/8/17,53,0.515,0.222,12,0.12,0.128,0.45,0.29,9.6,0.096,0.153,CHA,2,2,1,0,8
132,CHI,12/9/17,48,0.555,0.28,15.1,0.151,0.2,0.511,0.099,14.7,0.147,0.2,NYK,1,3,1,1,2
133,CHI,12/11/17,48,0.556,0.309,9.9,0.099,0.222,0.458,0.169,17,0.17,0.234,BOS,2,1,1,1,23
134,CLE,10/17/17,48,0.488,0.301,16.7,0.167,0.196,0.455,0.284,11.8,0.118,0.18,BOS,0,0,1,1,3
135,CLE,10/20/17,48,0.611,0.21,18.5,0.185,0.29,0.53,0.146,15.9,0.159,0.186,MIL,3,2,1,0,19
136,CLE,10/21/17,48,0.424,0.314,15.6,0.156,0.224,0.539,0.222,12.1,0.121,0.267,ORL,1,1,0,1,-21
137,CLE,10/24/17,48,0.614,0.265,9.6,0.096,0.205,0.574,0.148,12.3,0.123,0.205,CHI,3,3,1,1,7
138,CLE,10/25/17,48,0.556,0.321,20.1,0.201,0.243,0.522,0.226,12.4,0.124,0.208,BKN,1,1,0,0,-5
139,CLE,10/28/17,48,0.538,0.295,17.8,0.178,0.119,0.584,0.168,10.7,0.107,0.238,NOP,3,2,0,0,-22
140,CLE,10/29/17,48,0.444,0.333,14.9,0.149,0.149,0.545,0.236,13.8,0.138,0.244,NYK,1,2,0,1,-19
141,CLE,11/1/17,48,0.541,0.233,15.6,0.156,0.186,0.633,0.144,13.8,0.138,0.195,IND,3,1,0,1,-17
142,CLE,11/3/17,48,0.634,0.341,14.8,0.148,0.222,0.601,0.369,15.3,0.153,0.257,WAS,2,2,1,0,8
143,CLE,11/5/17,48,0.49,0.24,12.5,0.125,0.313,0.541,0.395,15.9,0.159,0.256,ATL,2,2,0,1,-2
144,CLE,11/7/17,48,0.555,0.463,13,0.13,0.3,0.645,0.193,16.3,0.163,0.229,MIL,2,4,1,1,5
145,CLE,11/9/17,48,0.63,0.173,18.6,0.186,0.125,0.571,0.468,22.5,0.225,0.436,HOU,2,4,0,0,-4
146,CLE,11/11/17,48,0.506,0.432,16.4,0.164,0.233,0.478,0.228,10.7,0.107,0.173,DAL,2,4,1,0,7
147,CLE,11/13/17,48,0.489,0.25,20.1,0.201,0.28,0.477,0.25,16.7,0.167,0.277,NYK,2,2,1,0,3
148,CLE,11/15/17,48,0.511,0.211,13.8,0.138,0.327,0.512,0.326,12.6,0.126,0.186,CHA,2,5,1,0,8
149,CLE,11/17/17,53,0.528,0.322,13.7,0.137,0.16,0.495,0.136,13.5,0.135,0.232,LAC,2,4,1,1,5
150,CLE,11/20/17,48,0.625,0.213,12,0.12,0.206,0.526,0.169,15.6,0.156,0.167,DET,3,1,1,0,28
151,CLE,11/22/17,48,0.61,0.329,10,0.1,0.105,0.605,0.198,19.2,0.192,0.216,BKN,2,3,1,1,10
152,CLE,11/24/17,48,0.536,0.181,12.2,0.122,0.07,0.441,0.287,9,0.09,0.263,CHA,2,2,1,1,1
153,CLE,11/27/17,48,0.564,0.233,12.5,0.125,0.262,0.391,0.208,14.5,0.145,0.386,PHI,3,2,1,0,22
154,CLE,11/28/17,48,0.562,0.284,14,0.14,0.128,0.5,0.238,15,0.15,0.167,MIA,1,2,1,1,11
155,CLE,11/30/17,48,0.633,0.342,20.2,0.202,0.364,0.595,0.304,18.1,0.181,0.222,ATL,2,5,1,0,7
156,CLE,12/2/17,48,0.633,0.307,11.6,0.116,0.032,0.589,0.167,13.4,0.134,0.167,MEM,2,1,1,1,5
157,CLE,12/4/17,48,0.599,0.21,8.7,0.087,0.132,0.47,0.22,12.1,0.121,0.196,CHI,2,3,1,0,22
158,CLE,12/6/17,48,0.564,0.269,15.7,0.157,0.163,0.512,0.151,14.5,0.145,0.2,SAC,2,4,1,1,6
159,CLE,12/8/17,48,0.494,0.256,12.2,0.122,0.191,0.529,0.279,10.6,0.106,0.255,IND,2,2,0,0,-4
160,CLE,12/9/17,48,0.573,0.32,18.5,0.185,0.158,0.545,0.167,19.8,0.198,0.206,PHI,1,2,1,1,7
161,CLE,12/12/17,48,0.674,0.116,13.3,0.133,0.182,0.554,0.141,10.2,0.102,0.244,ATL,3,2,1,1,9
162,DAL,10/18/17,48,0.541,0.244,15.6,0.156,0.2,0.559,0.16,13.1,0.131,0.304,ATL,0,0,0,1,-6
163,DAL,10/20/17,48,0.487,0.28,13.4,0.134,0.146,0.483,0.149,16.4,0.164,0.356,SAC,2,2,0,1,-5
164,DAL,10/21/17,48,0.446,0.25,14.1,0.141,0.148,0.543,0.268,15.2,0.152,0.195,HOU,1,3,0,0,-16
165,DAL,10/23/17,48,0.443,0.313,11.2,0.112,0.259,0.645,0.302,15.5,0.155,0.263,GSW,2,2,0,1,-30
166,DAL,10/25/17,48,0.561,0.392,11.7,0.117,0.118,0.542,0.333,19,0.19,0.162,MEM,2,2,1,1,9
167,DAL,10/26/17,48,0.394,0.213,14.2,0.142,0.327,0.479,0.411,18.9,0.189,0.205,MEM,1,1,0,0,-5
168,DAL,10/28/17,48,0.642,0.257,18.5,0.185,0.088,0.586,0.161,14.6,0.146,0.268,PHI,2,3,0,1,-2
169,DAL,10/30/17,48,0.526,0.145,25,0.25,0.237,0.568,0.185,14.6,0.146,0.154,UTA,2,2,0,0,-15
170,DAL,11/1/17,48,0.461,0.225,13.6,0.136,0.176,0.609,0.372,16,0.16,0.194,LAC,2,2,0,0,-21
171,DAL,11/3/17,48,0.438,0.25,14.5,0.145,0.17,0.444,0.292,13.3,0.133,0.191,NOP,2,2,0,1,-5
172,DAL,11/4/17,48,0.517,0.138,15,0.15,0.156,0.608,0.253,19.6,0.196,0.294,MIN,1,3,0,0,-13
173,DAL,11/7/17,48,0.533,0.22,11.9,0.119,0.234,0.493,0.427,14.8,0.148,0.067,WAS,3,2,1,0,14
174,DAL,11/11/17,48,0.478,0.228,10.7,0.107,0.173,0.506,0.432,16.4,0.164,0.233,CLE,4,2,0,1,-7
175,DAL,11/12/17,48,0.489,0.207,19.2,0.192,0.244,0.604,0.458,16.9,0.169,0.091,OKC,1,2,0,0,-13
176,DAL,11/14/17,48,0.469,0.222,15.2,0.152,0.114,0.481,0.342,12.6,0.126,0.186,SAS,2,3,0,1,-6
177,DAL,11/17/17,48,0.419,0.198,11.8,0.118,0.229,0.542,0.274,10.7,0.107,0.268,MIN,3,2,0,1,-24
178,DAL,11/18/17,48,0.601,0.241,18.3,0.183,0.189,0.419,0.419,14,0.14,0.16,MIL,1,3,1,1,32
179,DAL,11/20/17,53,0.443,0.208,10.2,0.102,0.143,0.53,0.31,15.8,0.158,0.119,BOS,2,2,0,1,-8
180,DAL,11/22/17,48,0.478,0.176,7.8,0.078,0.08,0.5,0.173,17.3,0.173,0.143,MEM,2,2,1,0,1
181,DAL,11/25/17,48,0.593,0.147,19.1,0.191,0.205,0.444,0.163,17.9,0.179,0.186,OKC,3,1,1,1,16
182,DAL,11/27/17,48,0.565,0.2,11.1,0.111,0.093,0.585,0.256,10.3,0.103,0.1,SAS,2,2,0,0,-7
183,DAL,11/29/17,48,0.518,0.25,11.3,0.113,0.156,0.528,0.278,13.9,0.139,0.275,BKN,2,2,0,1,-5
